1703776970# #baby白鹿遭导演组区别对待两人当场罢录，金靖趁机上位，笑坏坤坤
1704566161# #强迫症实锤，宋轶饭前要给餐具消毒，生怕李雪琴介意丨毛雪汪
1703856901# #甜馨睡觉不慎掉下床，家里瞬间启动“哭泣”按钮，奶爸们要头疼了
1704546962# #游戏王滑铁卢！杨迪pk吴宣仪，被关晓彤金靖报复丨王牌
1704598562# #罗志祥重返巅峰，当上男主角，黄渤王迅纷纷上前讨好丨极挑
1704561241# #金靖给吴宣仪改舞蹈名字，沙溢直接认输：哥不行丨王牌
1704347641# #王勉东北人基因觉醒，脸贴脸游戏赢麻了，鹿晗当场震惊！丨五哈3
1704536161# #笨蛋姐妹！贾玲关晓彤开局秒输，手足无措的小动作丨王牌
1704295561# #邓超胜负欲拉满，跟郑恺比赛跑，这画风也太搞笑了丨王牌
1703566035# #刘雯穿泳装大长腿暴露无遗，不愧是超模，崔始源都看呆了！
1704263161# #天下：皇上突然来看皇后，皇后吓坏了，直接把侍卫藏在箱子里！
1703986381# #只有蒋依依认识暖羊羊，范丞丞快把所有羊说一遍，真是太可惜了！
1704334922# #贾乃亮模仿古天乐签名，是连本人来了都分不清的程度丨王牌
1704243689# #白慧明怕吃桃蹭掉口红！于谦直接起身把桃切成块，投喂老婆！
1703505994# #大智慧！郭晓东跟妈妈抱怨程莉莎，却被妈妈一通教训丨小两口
1703897461# #闫妮总是有种众人皆醒我独醉的微醺感，让人看着就想笑！
1704320521# #奶奶拿出大金牙，让黄磊去开工厂，这可是传家宝丨极挑
1704526441# #沙溢展示8块腹肌，全场尖叫瞬起，彭昱畅认输：黯然失色丨王牌
1703815021# #周一围罕见撒糖！沙漠告白朱丹：我们的爱不惧流言蜚语！女方爆哭
1704360122# #杨迪向沙溢套话，瞬间锁定他是卧底，再辩解都没用丨王牌
1704358441# #沈腾黄渤汽车逃脱，一时紧张手抖，钥匙顺序全错乱丨王牌
1703548035# #孟姐和岳岳同乘飞机没被认出！孟姐：那正是素颜在下！笑疯丨出发
1703668501# #小S穷养女儿不给零花钱，被大S一顿教育，暴露消费观！丨真正朋友
1704099181# #神枪手穿着鬼子皮，混进鬼子的战壕，专打鬼子狙击手，一枪爆头
1703907301# #这就是中国：中国的选贤任能模式，已超越西方选举制度
1704209009# #Twins音乐派对：阿Sa、阿娇与粉丝合唱《死性不改》，幸福感溢出
1704600841# #刘涛成母系社会的部落酋长，沙溢沈腾全是她的跟班丨王牌
1703982781# #张鹤伦岳云鹏互怼，本以为是走心局，没想到是扎心！丨斗笑社
1704062101# #影视：大妈意外发现手榴弹，鬼子虎视眈眈，下秒配合小伙默契演戏
1703936101# #娱乐圈躲不掉的年龄梗暴击，吴奇隆被调侃成活化石
1704399481# #非洲老外唱粤语歌，沈腾当场放弃，这谁能听得明白丨王牌
1703788501# #爷爷说甜馨黑，小姑娘立马生气，直呼我不黑我们白着呢！丨爸爸2
1704445381# #张艺兴痴迷变魔术，把高考机会让给黄磊，对方还不愿意丨极挑
1703789821# #奚梦瑶是拯救了银河系吗？何猷君聊天内容大曝光，金莎：肉麻死了
1703758510# #杨超越最大的开销是衣服，一件裤子买两次，穿的次数多被粉丝嫌弃
1704345721# #蔡明22年前就和撒贝宁相识，一提北大话剧社，对他满是夸赞丨你好
1704265289# #白鹿把自己打扮成广场舞老太太，站沙溢跟前他都认不出，太像了！
1704279689# #白鹿baby再次素颜出镜，白鹿脸肿眼睛肿，反观baby妥妥的睡美人！
1704289574# #时代少年团合体领奖！七小只集体穿西装，台下女粉尖叫声没停过！
1704548041# #沙溢为展示野性美，脱衣服展示8块腹肌，彭昱畅直接认输丨王牌
1703885701# #这就是中国：从援藏医生的经历，看中国模式的优势
1704352021# #肖战对谢娜表白拥抱！天知道他们排练了多少次，抱了多少次丨春晚
1704497641# #还得是神算子！孙红雷黄渤分赃不均，黄磊直接躺赢丨极挑
1703517874# #何猷君砍椰子砍到崩溃，奚梦瑶搬出公公的一句话，赌王家训曝光！
1704300841# #贾乃亮卧底身份被揭穿，黄明昊抢先下手，龚俊得知真相太受伤
1704341221# #贾玲误以为得了绝症，自己吓自己，许君聪：就是懒的丨春晚
1704028501# #小S清早在地板上拉筋睡觉，被脚步声打扰，看到是大S不敢说！
1703523735# #霍思燕离开嗯哼紧闭眼睛，假装看不到，看爸爸走脸色立马就变了！
1704608041# #王俊凯邓超表情包大战，全程笑料不断，超哥暴露鱼尾纹！丨王牌
1704195974# #本以为田曦薇是甜妹，谁料看到她身材后，真正的性感天花板丨晚会
1704494041# #徐志胜出息了，都敢公开叫板李诞，差点工作保不住！丨五哈
1703681761# #谢楠给于谦送炖肉，临走不忘借葱跟香油，这小算盘打的丨三重奏
1704514561# #关晓彤泼水游戏输惨，杨迪把水泼她脸上，就差卸妆了丨王牌
1704094501# #两人被鬼子包围，正想自我了断时，正巧援兵赶来全歼鬼子
1704585422# #郭京飞贾乃亮互怼，岳云鹏招谁惹谁了，站老远都受伤丨极挑
1703576835# #明星吃瓜吃到了自己头上，鹿晗实锤甩锅达人，黄磊催婚杨紫！
1703667361# #损人只服凤凰传奇！玲花说李诞像内蒙古的羊，简直要笑死丨吐槽
1703502393# #带甜馨打疫苗医生例行询问，李小璐游刃有余，贾乃亮不堪回首！
1704150181# #黑狐之风影：王文渊带着假参谋长游街，来个引蛇出洞
1704169409# #白鹿扮演豆腐西施！不开口是美人、一开口秒变泼妇，笑死郑恺！
1703684266# #女人汤：老爷假装喝醉酒，晚上闯进丫环的房间，丫环这下要完了
1704081181# #最后的王爷：王爷出狱谢皇恩，殊不知早已改朝换代，大清朝亡了
1704470151# #昆凌在选手身上看到女儿影子最强大脑首播就是国际赛魔方赛道曹岂娴上场时，可爱小巧的身形博得
1704578221# #杨迪贾玲即兴表演，郭京飞脑洞大开，开口就有梗！丨王牌
1703991326# #2023道个别做人嘛最紧要的是开心心
1704063181# #神医喜来乐：太医骂喜来乐医术靠蒙，怎料宾客一句话，他颜面无存
1704071701# #影视：八路军个个神枪手，小鬼子被打得落花流水
1704301621# #不能让陈赫邓超待一起，两幼稚鬼加起来3岁都嫌多，太闹腾了
1704370921# #中年显眼包再添一人！沙溢自创rap，沈腾都没眼看丨王牌
1704022381# #小S早上睡的正香，大S直接把灯打开，真的很讨厌！丨真朋友
1703875861# #有什么是王栎鑫不敢说的吗？离婚梗百玩不厌，好兄弟都是正面插刀
1704476041# #黄渤为躲孙红雷，一把撞进黄磊怀里，分分钟被淘汰丨极挑
1704442681# #沙溢招谁惹谁了！人都没露面，就被岳云鹏一通拉踩丨开放麦
1704104101# #鬼子高手训练有素，但还是被骑驴小伙玩惨了，红通巴掌印！
1704501241# #关晓彤重现艺考傣族舞，被杨丽萍高度评价：太专业了丨王牌
1704036781# #王源坐那抱着狗睡觉，颜值依旧在线，太帅了！丨青春旅社
1703574135# #姐弟恋不被看好？金莎透露父亲对孙丞潇态度，想结婚有点不太现实
1703799301# #叶一茜让儿子帮忙招揽客人，小亮仔害羞找借口，撒娇说要喝水！
1703508976# #贾乃亮给孩子洗澡没经验，洗发水不慎进入眼睛，惹得甜馨大哭！
1703751310# #杨迪也是整治娱乐圈的好手，当众内涵杨洋，说不敢抢杨洋的戏
1704271574# #一听辣目洋子没放过风筝！徐志胜立刻把风筝放弃给小辣，简直太暖
1704278774# #妈妈咪呀总冠军黄跃蓉重返舞台，讲述孩子的不幸离世，全场泪崩！
1704258088# #白慧明饭桌发飙吓坏吴京谢楠，于谦老脸都挂不住了，直接撒娇求饶
1703835301# #吴尊看到女儿穿婚纱那一刻，突然不舍有点心酸，总要面对那一天！
1704482161# #极挑最大规模团战！岳云鹏成头号公敌，被全员围攻！丨极挑
1703984041# #王俊凯录制完节目，拉着王大陆去网吧打游戏，结果被粉丝拍到！
1704102781# #神医喜来乐：喜来乐状告冒牌货，在大堂上证明我是我，下秒太逗了
1704440581# #郎朗做隐藏任务，被贾玲当场拆穿，暴露得太明显了丨环游记
1704337621# #王迅发表获奖感言，下秒导演发话，黄磊才是最终赢家丨极挑
1703750895# #程野吹嘘自己不怕老婆，儿子：就你说的这话，给我妈上坟都得道歉
1703501775# #霍建华真的在一本正经的搞笑，看刘诗诗结婚比自己结婚都高兴！
1703557455# #浸浸哭着找妈妈，张紫宁用泡泡水转移注意力，太会哄娃了！
1704426181# #团宠实锤！贾乃亮跟杨超越单挑，二话不说直接就让她丨极挑
1704452581# #黄渤改编《罗密欧朱丽叶》，王迅演反派上头，被考官一顿批丨极挑
1703973241# #甜馨遭亲妈李小璐吐槽，为了见王源，在家里狂换衣服！丨青春旅社
1704316021# #马丽被沈腾忽悠，刚坐上椅子，下秒就被推出屋外丨春晚
1704165366# #胡歌的《繁花》太吊人胃口！听了主演们的推荐，雷佳音期待住了
1704188774# #本以为是条女人腿！谁料镜头一转竟是白敬亭，皮肤简直太白皙！
1704206774# #本以为小学生唱歌只会对口型！谁料一张嘴惊呆朱丹，太好听丨大赛
1703910901# #这就是中国：美国当年让6000万人感染H1N1，学不了中国的防疫能力
1703822221# #徐璐潘玮柏演感情戏，男友乔任梁麻辣提问，怒气值飙升！丨相爱吧
1703866500# #谢霆锋15岁首次登台的样子，清新俊逸，难怪王菲疯狂迷恋！丨掌声
1704181574# #本以为吴宣仪猫咪舞已经够绝，下秒关晓彤的机器人舞，看呆华晨宇
1703516794# #杜若溪开烤肉店，装修一顶一的奢华，一看生意哎……丨小两口
1703933461# #张翰油腻到让人抠脚趾，杨超越的对他反应也太真实了！
1703924101# #这就是中国：疫情之后，韩日需要中国带领走出经济危机
1704237989# #42岁柳岩越活越精致！穿着虽超保守，身材仍看呆毛不易丨毛雪汪
1704163349# #41岁当妈的孙俪风韵犹存！井柏然站她身边，眼神忍不住一直看她！
1704485761# #汪苏泷李雪琴徐志胜李嘉琦手牵手领奖，你们四个把日子过好就行
1704184949# #86岁谢贤带谢霆锋打猎！浑身腱子肉比儿子还健壮，真是宝刀未老！
1704344042# #贾乃亮给沙溢挖坑，极限挑战出来的人，心眼子就是多丨王牌
1704429781# #难兄难弟实锤！沈腾沙溢模仿大赛，刚开局就被淘汰了丨王牌
1703956502# #这些路人就是拯救无聊综艺里的神，一开口就将综艺效果拉满
1704180209# #161何超莲跟173关晓彤同框！颜值气质通通比不过，完全没豪门气场
1704538681# #欧阳娜娜抒情版《惊雷》，随口一唱竟获几千万点赞，何炅佩服
1704592621# #王迅冒雨飙车救兄弟，孙红雷感动不已，生怕他遭罪丨极挑
1704420181# #王牌汽车逃脱环节，黄渤率先逃生，沈腾还留在车里丨王牌
1703886661# #张艺兴终究是变成了小狐狸，人情世故被他拿捏得稳稳的
1704393781# #不愧是神算子！孙红雷这点小心思，哪能瞒得过黄磊丨极挑
1704397381# #大魔王也有害怕的时候！黄景瑜玩水上滑梯，吓到闭眼尖叫！丨极挑
1704422580# #杨迪游戏输给吴宣仪，关晓彤金靖趁机报仇，宋亚轩笑疯了丨王牌
1704023641# #赵又廷为陪高圆圆拒接新戏，经纪人非常支持，并表示理解！
1704294089# #白鹿扮演豆腐西施！不开口是美人、一开口秒变泼妇，笑死郑恺！
1703919061# #有陆虎在的地方就不缺笑料，被综艺之神偏爱的男人
1704435481# #不愧是内娱莽夫！黄景瑜公然抢金条，节目组拦都拦不住丨极挑9
1704041582# #我爱男保姆：小伙正面试，不料女友挺大肚子闯进来闹，结果看傻了
1704574621# #黄渤带人偷袭王迅，孙红雷趁机看热闹，还是黄磊明事理丨极挑
1704240089# #86岁谢贤带谢霆锋打猎！浑身腱子肉比儿子还健壮，真是宝刀未老！
1704282374# #郭碧婷向佐两家家长见面！向华强直接坐主位，郭爸尴尬站一旁！
1704124381# #罪域：女总裁背叛自己，兆辉煌派大批人马抓她，怎料却被打脸
1703769770# #52岁杨钰莹演唱《糊涂的爱》，歌声甜美宛如少女，太惊艳丨盛典
1704164581# #现场铁证：医生丈夫用骨刀杀死妻子，说出作案过程，令人毛骨悚然
1704539761# #宋亚轩一碰上金靖，脑子就不转了，泼水游戏输这么惨丨王牌
1703987641# #赵又廷为陪高圆圆拒接新戏，经纪人非常支持，并表示理解！
1703776510# #叶一茜砍价王者上线，拉着小亮仔一起砍，老板娘都招架不住了！
1703882101# #这就是中国：西方最大的假新闻，就是对中国的报道
1703787310# #要被马丽喊沈腾起床这段笑死！连哄带吓，笑坏张艺兴丨向往6
1704194609# #白鹿：我站不动了！郑恺王鹤棣直接献上膝盖，把白鹿当公主宠！
1704185174# #本以为奚梦瑶嫁豪门会受委屈！谁料何猷君根本玩不过她，惊呆谦嫂
1704540841# #大张伟黄晓明学跳舞，早期驯服四肢既视感，胳膊像借别人的丨极挑
1704057301# #特工跟踪鬼子进入地道，把小鬼子全灭了，厉害
1703993581# #张国立点名张译：我是你亲爹，你得给我养老！转眼就给卡号让打钱
1704024901# #吴昕太会过日子，现场用香料煮红酒，获得大厨们的认可！丨冰箱5
1704408182# #杨超越紫色抹胸连衣裙散发神秘韵味！月夜海上的神女上岸丨红毯
1703878501# #王牌回味老照片，关晓彤与妈妈好像，腾哥从小就有喜剧天赋！
1703586255# #李晨臂力有多强，80厘米下腰过杆，全程托着宋智孝的背！
1703761599# #东北男子事业未成，迟迟不结婚，女友等不及现场逼婚
1704589021# #汪苏泷获年度最受欢迎歌手，单枪匹马在歌坛杀出一席之地丨星光
1703937061# #文松唱一首《青花瓷》，竟能模仿6位歌手，腾格尔简直太像丨王牌
1703555235# #马伊琍女王发言：女生恋爱脑可以，事业不可以搭进去！丨展开说说
1704096200# #《父母爱情》剧组重聚，主演时隔十年同框，梅婷刘琳还是那么美
1703507074# #韩雪真妲己吧！配音《封神》妲己一开口毛骨悚然！Baby吓呆丨好吃
1704531481# #游戏王！华晨宇摸透宋亚轩的心理，关晓彤哥控实锤了丨王牌
1704224941# #金靖想跟宋亚轩搭戏，沈腾分都不要了，把场地让给他俩丨王牌
1704241589# #24岁黑人小伙身体比蛇还软，反向四肢走路，张国立看傻眼丨梦工厂
1704025981# #岳云鹏嗯式唱法华语乐坛第一人，马頔实力追捧，何炅难以置信！
1704461376# #向佐忘记背后还有摄像头！手下意识放到郭碧婷屁股，简直太大胆
1703958841# #王源坐在沙发上睡着，爷爷怕他着凉，直接用自己衣服给他盖上！
1703932501# #这季花少全员喜剧人，秦岚不愧是电音朵拉，每一帧都好笑的程度！
1704607021# #罗志祥做天然肥料，拿棍子搅拌鹅粪，真成了搅屎棍丨极挑
1704200725# #按照张大大的要求！范丞丞的屁股越翘越高，这一幕笑死丨奔跑吧7
1703884501# #赵本山小沈阳小品《不差钱》：笑点来得猝不及防，观众嘴都笑歪了
1704276089# #白慧明被于谦宠成小公主！嫁给于谦20年，今天才第一次下厨做饭！
1703842501# #吴昕四十岁依然没对象，向太一针见血道出原因，太真实了！
1703692561# #杨受成现场逼婚谢霆锋和王菲，除了谢贤也就他敢问了！丨12道锋味
1703552535# #蒋丽莎探班陈浩民，专门去菜市场买菜，三句话不离老公！
1703979182# #张杰牌秘制辣椒酱，何炅尝了一小口，直夸太好吃！丨冰箱4
1704466268# #不愧是拽姐！倪妮靠两片纱布走天下，若隐若现的福利真是秀到我了
1704596221# #沈腾鉴定为猴系帅哥，杨迪不敢相信：王鹤棣才是猴系丨王牌
1703909701# #赵本山做梦都没想到，小沈阳居然凭这首歌咸鱼翻身，火的一塌糊涂
1704268889# #白敬亭喜欢宋轶是有原因的！皮肤白皙腿还长，穿上超短裤看呆郑恺
1704042901# #奚梦瑶要喝热牛奶，从小在国外长大的何猷君不理解，两人起争执！
1704069301# #大汉天子：匈奴都快打到家门口了，窦婴还在处理私事，死了也活该
1703564655# #就喜欢看文化人在一起聊天，余华真是被写作耽误的喜剧人！
1704316921# #沈腾演躺平式干部，不干实事抢下属功劳，气得常远自扇耳光丨春晚
1704597241# #黄渤王迅日常拌嘴，为了那点分，兄弟情都不顾了丨极挑
1704103400# #24岁黑人小伙身体比蛇还软，反向四肢走路，张国立看傻眼丨梦工厂
1704362041# #沈腾这嘴是真损，沙溢啥也没干，就被他当面内涵丨王牌
1703920501# #王牌家族“晓机灵”上线，直接破解了其中暗语，太厉害了吧！
1703589855# #经纪人运动完就吃雪糕，张雨绮眼睛都亮了，手都按耐不住！
1703563335# #蒋勤勤住一天几万的月子中心，看她吃的月子餐，不由感叹：值了！
1704114997# #赵露思给亲爹打电话！父女俩方言交流打麻将心得，笑疯一旁白鹿！
1704506281# #沈腾给汪峰伴舞，魔性步伐上线，身姿妖娆众人没眼看丨王牌
1704277561# #张小斐男友上门，贾玲一看对方是脑科医生，以为自己得病了丨春晚
1703566935# #贾乃亮向女儿索要亲亲，甜馨一脸嫌弃，看到吃的还是妥协了！
1704373621# #鹿晗彭昱畅逃离荒岛，被excel表格难倒，这个数是算不明白了
1703816110# #这调跑的！伊一版《消愁》，毛不易：原唱也有可能变原告歌谣季
1703854622# #周一围被问：在家怕老婆吗？注意他漫不经心的态度，朱丹心灰意冷
1703534534# #吉娜切姜太费劲，邓婕忍不住上手，钢琴家的手伤不起！丨三重奏
1704257174# #撕名牌环节李晨被淘汰！baby从角落钻出庆祝，简直太逗丨奔跑吧7
1704006901# #这就是有老公的快乐么？王灿网上购物找杜淳帮付，这也太幸福了！
1704259561# #沈腾艾伦作品《坑》，讽刺躺平式干部，包袱一个接一个丨春晚
1704000781# #杨天真主动提出合约问题，理性分析公司现状，没办法满足乔欣！
1704040502# #现场铁证：死者母亲来警局，没想到一番话，刑警发现破案线索
1704119701# #现场铁证：美女被残忍杀害，法医发现她身上少器官，警察：禽兽！
1704322441# #王牌剧本被偷，沙溢看完监控直喊冤：这是嫁祸我啊丨王牌
1704400981# #王鹤棣拉着王传君武大靖卖烤串，被导演评价为直男搞怪！丨桃花坞
1704496561# #秦霄贤帮李雪琴做抽奖，直接把房子都送出去了，大手笔啊丨毛雪汪
1703778805# #161何超莲跟173关晓彤同框！颜值气质通通比不过，完全没豪门气场
1703949301# #中国：西方有人想看到中国在疫情中崩溃，却没想到美股先崩溃了
1704340441# #沙溢唐嫣搭戏，互喊宝宝宝贝，一看闫妮出现立马慌了丨王牌
1703509594# #杜海涛深夜对吴昕痛哭，一个半小时不挂电话，坦白就是想作！
1703530935# #贾乃亮：爱爸爸吗？甜馨一个眼神，让老爸秒懂！丨爸爸回来了
1703514274# #何猷君吃剩的猪蹄，奚梦瑶拿过来继续啃，把肉全嗦完才罢休！
1704132182# #相爱十年：室友还在旁边，小伙和女友就控制不住，约定今晚不回家
1704021301# #孙俪把陈晓脸打成包子一样，张国立深深同情邓超，娘娘捂脸大笑！
1703571855# #李安琪穿泳衣身材火辣，难怪李小鹏苦学英语都要娶她！
1704556131# #邓为超话微博之夜加速器邓为圈粉无数的采访视频
1704380042# #降智兄弟互相伤害！陆虎押韵闹笑话，张远不忍直视丨告白季
1703805310# #张艺凡：我有点晕船！沈叔叔红娘上线：放心晕范丞丞背你丨出发
1704065701# #鬼子半路搞偷袭，岂料小伙身手不凡，打得鬼子还不了手！
1703966041# #甜馨看到妈妈拍的照片，觉得自己好漂亮，摆好pose接着拍！
1703588535# #经纪人担心严屹宽被网暴，结果宽哥根本不在乎，白操心！丨小两口
1704229289# #Minnie不愧颜值天花板！宋雨琦白鹿站她身旁都失去光彩丨奔跑吧7
1704296774# #该死的偶包！导演打算用水把白鹿baby浇成素颜，白鹿立刻保护刘海
1704239174# #本以为内娱关晓彤最八卦！谁料毛不易比她更八卦，李雪琴：我服了
1703503474# #何猷君从小澳门长大，竟不知酒桌碰杯礼仪，虚心请教吴京丨三重奏
1704170774# #赵露思自带柔光滤镜，绿色抹胸礼服，油画里走出来的公主丨星光大
1703675701# #谢霆锋被经纪人逼着接电影，谢霆锋拒绝，谢贤：赚钱重要丨12锋味
1704383641# #黄渤变芭蕾舞王，罗志祥挑战扔飞镖，结果扎中摄影师丨极挑2
1703584935# #经纪人带朱亚文去电玩城释放压力，不料却把自己吓半死！丨经纪人
1704537241# #范志毅被陈赫坑来五哈，这熟悉的对话，和邓超忽悠黄渤是一样的
1704507361# #刘昊然彭昱畅给王俊凯使坏，地主家傻儿子团聚了丨恰好是少年
1704499081# #太心酸！张远选秀经历戳中陆虎心坎，他们只想要个舞台丨告白记
1703678161# #张佳宁一个人在家住，舅舅张晓龙不放心，叫来女儿陪她！丨闺女
1704428281# #男人帮模拟考试，对手实力雄厚，不是军官就是运动员丨极挑
1703855710# #小亮仔有比赛意识，看到别人都游到终点，自己也没有中途放弃！
1704171781# #现场铁证：洗澡间太干净，谁知警察用水一喷，出现大量血迹！
1704117181# #营长怀疑女兵是鬼子，出手试探，哪料她真的是女鬼子
1703911861# #张艺兴终究是变成了小狐狸，人情世故被他拿捏得稳稳的
1704148949# #“朋克少年”宋亚轩！摇滚翻唱《爱情转移》，撕心裂肺高音太嗨！
1704275341# #董子健玩游戏实惨，刚开心一秒，记录就被张一山打破了丨高能少年
1703830510# #周也被范丞丞ko自行落水，范丞丞：来宝贝，我给你拍个照！丨出发
1704003301# #张歆艺拍戏三个月不在家，冰箱的食物都发霉了，一直忘记扔掉！
1704457591# #郭碧婷在家穿制服跳舞！向佐难以忍受，直接一把将她抱住
1703874901# #这是王牌家族待久了，关晓彤逐渐“腾化”，吴磊的眼神太逗了！
1703837710# #吴昕最长可以半个月不出门，把李雪琴怼得无话可说，输了！输了！
1704453481# #谁来管管金靖，癫得让人害怕，铁网都拦不住她丨王牌
1704168181# #水中花：堂堂一代毒枭皇后，竟在美容院实习，警长感叹人不可貌相
1704210373# #本以为徐艺洋是花瓶！谁料听完她清唱这首歌后，黄子韬被迷住了！
1703775205# #52岁杨钰莹演唱《糊涂的爱》，歌声甜美宛如少女，太惊艳丨盛典
1704603421# #沈腾套路关晓彤，就想让她花钱，被华晨宇及时拦下丨王牌
1703969641# #香迷糊的烤猪肘，表皮酥脆，让baby以为在吃北京烤鸭！丨好吃
1703961181# #甜馨看到酸奶主动出击，喝完打了个嗝，直呼自己喝醉了！
1703672101# #谢霆锋吃日本流水面，面全被甄子丹夹走，看着干着急！丨12道锋味
1704186325# #“大娘子”刘琳真贵气，小白裙跟拖鞋也能穿出豪门风，慵懒且知性
1704009241# #甜馨玩耍摔倒磕到石头，贾乃亮看在眼里疼在心里，抱着小腿直亲！
1703682901# #张国立不愧是老油条，一句话逗乐林依轮，这情商真的太高丨三重奏
1703498794# #戴军晚上十点去录音，结果李静把车开到了田里，两人都不愿下车！
1704073982# #铁道游击队：小伙为防止鬼子逃跑，仅用根木棍，就毁了鬼子装甲车
1704088381# #罪域：娇妻怀疑兆辉煌犯罪，怎料他说出发家历史，妻子瞬间惊呆
1703862910# #叶一茜做两人份午餐，直呼要省钱，和儿子就吃一包方便面！
1704193525# #39岁唐嫣的身材有多绝？大清早穿睡裙出镜，一双小细腿看呆姚晨！
1703801710# #醉时代少年团！当流行撞上国风，这波反差算是被玩明白了丨少年行
1704327721# #黄磊没抢上答题权，连累张艺兴淘汰，男人帮又少一员丨极挑
1703757205# #57岁周海媚最后一次登台领奖！骨子里透着妩媚，不愧最美周芷若！
1704602161# #张远陆虎关于降智的默契，正经不过三秒，随时会“发疯”丨告白记
1704101701# #影视：神枪手伪装成猎人，迷惑鬼子狙击手，下秒直戳鬼子心脏
1704039302# #谢霆锋的朋友圈太豪华了！居然能请来甄子丹的师父八爷，厉害了！
1704448981# #王牌家族淋水游戏，沈腾临阵脱逃，一个人躲角落里丨王牌
1704477481# #黄磊答题一对六，输得太惨烈，直接被送回1978年丨极挑
1703808910# #吴昕睡觉太“死”，把爸妈锁门外6小时，在飞机睡觉打呼噜！
1704211289# #21岁弟弟爱上富婆！赵川一打听富婆竟离过婚，亲姐炸了：立马分手
1704235741# #邓超模仿跑男团睡姿，杨颖居然能睁眼睡，这段笑点太密集丨王牌
1704458581# #黄渤王迅比喝水，喝的还没漏的多，军大衣都湿透了丨极挑
1704331321# #于谦暴露爱玩属性，套圈输给媳妇，谦嫂一套一个准丨幸福三重奏
1704584161# #黄磊黄渤创业成功，忙着给工人发工资，孙红雷宣布破产丨极挑
1704479641# #黄磊一题都没答对，差点淘汰黄渤，孙红雷：颜面无存丨极挑
1704298021# #卧底游戏！华晨宇被杨迪套话，这场对峙拉扯的心理战绝了丨王牌
1704467881# #沈腾和黄渤比拼，40年的嗑瓜子经验，愣是输得没面子了丨王牌
1704135781# #雪豹：周卫国知道真相，误会了陈怡，两人会不会在一起
1703963701# #王彦霖林更新戳中我一天的笑点，综艺之神突然降临
1704102981# #“朋克少年”宋亚轩！摇滚翻唱《爱情转移》，撕心裂肺高音太嗨！
1703580435# #明星这该死的秒懂瞬间，王鹤棣这笑容就不对劲，杨幂杨紫秒懂女孩
1704457081# #关晓彤猜歌太卑微，全是她的知识盲区，差点急坏贾玲！丨王牌
1703584035# #明星打电话借钱有多爽快，王源在线澄清魏大勋真的不抠！
1704214889# #安崎以为LyLy被淘汰！一个人爆哭，谁俩下秒LyLy竟神奇晋级丨舞台
1704191009# #白鹿扮演豆腐西施！不开口是美人、一开口秒变泼妇，笑死郑恺！
1704579241# #成功被郭京飞笑到了，对自己认知太清晰，说淘汰就淘汰丨极挑
1703790910# #杨天真被朋友拉黑，给出教科书解决办法，情商太高了丨展开说说
1704513481# #尹正为节目付出了太多，兄弟团叠罗汉，6个人全压他身上丨小时
1704207925# #161何超莲跟173关晓彤同框！颜值气质通通比不过，完全没豪门气场
1704464281# #卧龙凤雏！沙溢掏出生发液，沈腾说他一瓶不够用丨王牌
1703880901# #赵本山请客吃饭，一个菜没点还让小沈阳送一个，笑岔气！丨春晚
1704175525# #56°水温导演就让邓超鹿晗下水，陈赫一句话，导演都绷不住了！
1704349321# #徐志胜为李诞拼命，却连累王勉坐进水坑里，裤子瞬间湿透了丨五哈
1704558961# #欧阳娜娜圈内关系曝光！是赵丽颖儿子干妈，还跟何炅喝酒丨拜托了
1704431881# #沈腾嘴瓢名场面，下秒就落荒而逃，隐约感觉要下岗了丨王牌
1703581335# #贾乃亮事业上升期结婚，婚后第二天就去拍戏，留李小璐在家哭！
1703851021# #谢贤年轻时有多帅？10个谢霆锋也比不过他，怪不得桃花运那么好！
1704392281# #好朋友就要互相伤害！撒贝宁吐槽尼格买提，伤害不大侮辱极强
1704313321# #王迅跟村民换鸡蛋，到了节目组手里，价格直接翻倍丨极挑
1704417481# #罗志祥一提挑粪，黄渤瓜子都吃不下去了，太味了丨极挑
1703914501# #这就是中国：这些机制，让我们国家有了强大的纠错能力
1704242941# #龚俊打地鼠游戏，严浩翔遭连击，一副不太聪明的样子丨极限挑战9
1704051301# #旅长打电话就马上变脸，老李是表演型人格吧
1704285974# #沙溢一言不合就跳恰恰舞！转身露出的破洞靴子，白鹿baby笑惨了！
1704512040# #大魔王出手制裁！严浩翔对上黄景瑜，熊孩子秒变乖猫丨极挑9
1704109981# #罪域：狐狸精短裙长腿太美，富少把握不住趁机拿下，下秒精彩
1703879461# #这就是情侣和兄弟之间的差距吗？和张凌赫这恋爱氛围简直爆棚！
1704066781# #罪域：郭守义罪行败露，怎料他为救人死亡，郑毅然做法绝了
1704363721# #郑恺沙溢现场battle，仅仅因为两只蛤蟆，场面一度失控丨王牌
1704010501# #甜馨吃饭不能缺肉，一口菜一口肉，喝汤直接捧碗喝！丨爸爸2
1704250141# #沈腾原来这么胆小，滑沙吓到哇哇大叫，一个劲叫妈妈丨旅途的花样
1704604440# #邓超到哪都给孙俪“丢人”，自创气泡音，惹五哈团爆笑丨五哈3
1704156149# #300斤的孙越给吴京踩背！这次战狼都遭不住了，感觉全身关节断了
1704016441# #王源坐那抱着狗睡觉，颜值依旧在线，太帅了！丨青春旅社
1703771605# #50万年薪+股权，北大学霸眼睛连眨都不眨直接拒绝，涂磊都惊了！
