1625672016# #马住！！
1657000713# #他的水平一点不比宫崎骏低，特别是遗作辉夜姬物语，可惜被埋没的大师了摊手
1610760753# #哦草晕了我存了超多他的画啊啊啊我哭了
1622484677# #Repost
1626442393# #这男人现在出什么狗新闻我都不会意外了人以类聚毕竟微笑
1632240253# #如果我当老师一定会举办的活动NO.1
1608130800# #下次要一边看巨人一边啃鸡爪！
1621213773# #刚好熬夜看完了ThisisSin，感触太多。这个世界会变得越来越宽容的吧我相信。
1637388784# #学习努力
1619641972# #可爱死了
1576630709# #Repost
1585626761# #doge不知道高三学生是想哭还是想笑…
1702538008# #全世界最适合斜刘海的oni……
1597295955# #心动woccc
1629207623# #杨笠🐂🍺！！
1623600023# #🐎
1558480533# #我好痛苦啊我眼睛贼拉疼都一点多了还在找资料什么都想不到脑子空空的明早还有课。为什么周末要出去玩！为什么不努力！拖延症迟早把自己拖死自己搞自己真开心摊手
1606821842# #最喜欢的宫崎骏动画之一爱你
1606841265# #看爸爸去哪儿的时候就一眼相中55555单眼皮酷哥真帅
1583487617# #康娜即正义！
1585581395# #以后关于2020真的可以写＋拍出太多作品了真正的见证历史
1693579684# #好有意思啊
1608360348# #等写完论文就！
1631436100# #发现新的刷屏必备表情包开学季
1683177284# #永远感动于女性的力量。这才是五四最合适的青年精神。
1645056134# #哈哈哈哈哈哈哈哈哈哈哈哈哈救
1635338599# #嗯
1588568097# #Repost
1658930771# #一起看！
1648277412# #创造营2019官宣三周年怀念三年前为了onepick第一次真情实感追星的自己是第一次也是最后一次了只是现在看到"赤子之心乘风破浪"几个字依然会有些感动
1647488612# #“女孩子要帮助女孩子”心
1611476576# #我可太太太太认同了憧憬希望微博各位lb键盘侠们都来看看这条微博补点脑子
1681143632# #Ive新专真的牛掰，全砖无废曲。NotYourGirl和ShinewithMe封神！！。谢谢小圆的饭颂悲伤真的会听哭。看着小孩从1314岁一路走来，多少坎坷多少被黑的声音只有她自己知道。开头第一句Usedtocry直接把我送走泪。始终很闪耀，未来也要一直闪耀下去呀
1599353971# #如果在室内看到一个人还打着伞。那么TA不一定是脑子有问题。可能只是忘记收伞了拜拜。今天也是社会性死亡的一天拜拜
1651215371# #“回老家至少饿不死”
1593613493# #来了来了憧憬心动
1603034768# #转发微博
1627668261# #怎么会有这么帅的人啊5555
1610466097# #觉得自己学不动的时候就问问自己。新学期已经开始了上学期的论文写完了吗？pre开始做了吗？ddl还来得及吗？新课的reading看了吗？德语专八看了吗？单词背了吗？。这么垃圾哪来的脸玩。我不配我真的不配拜拜
1630224489# #不要啊啊啊小圆马上就过生日了整这出？？！
1599582753# #要多发现生活中的美好嗷
1585467900# #That'sreallyhilarious
1690441912# #两个女儿都是真人芭比的存在泪真的好幸福
1651338174# #看lesserafim的conceptphotos第一眼就狠狠get到了Kazuha色单眼皮太有灵性了太美了吧
1556274318# #我死了！！不修音也这么好听呜呜呜呜
1618476452# #瑞思拜过招
1602814964# #啊这……一个接一个还让不让壶妹活了悲伤悲伤
1575084484# #🐧🐧🐧
1650856565# #疑问疑问疑问
1700241784# #大半夜被傻逼领导气到睡不着。没有业务能力，根本不熟悉平台规则，只知道满嘴完不成的绩效目标数据，不提供任何策略思路，只知道让下属自己想自己落地，拿我做的总结复盘和规划和老板直接过，还不止一次推锅给我可爱哈哈nmd怎么能这么傻逼啊可爱
1556209774# #我在纯甄小蛮腰创造营2019加油能量榜为你补充能量，助力你怀抱赤子之心，一路乘风破浪！
1629318555# #果然性格像猫猫的人会喜欢养猫，人也会越来越傲娇臭屁；性格像狗狗的人会养狗，人也会可可爱爱！具体参见车勋和金宰铉憧憬色色
1615716204# #🆘救命啊我笑晕了
1580536721# #失望
1634350646# #京东群面真是开眼从来没见过所有人都在抢着说话如此活(chao)跃(nao)的面试裂开是我不配了裂开
1593613671# #🐎
1558986150# #翟潇闻超话跪了翟潇闻生日。亲眼目睹了翟潇闻生日的tag从昨晚80+的讨论量到现在4.8万讨论量。跪了跪了闻妈闻爸🐮🍺！。也要谢谢豆瓣微博所有祝闻闻生日快乐的人呜呜呜大家真的好好哦悲伤。儿子快睁大你的小眼睛看看自己人缘究竟有多好！。
1643718671# #谢谢doge
1602000893# #今天15度我穿了两件上衣一条裤子老方穿了五件上衣两条裤子最外面那件还是老头爱穿的羽绒背心在电影院看电影居然还愣是说不冷不愿意脱我…………。仿佛没有生活在一个季节doge
1575008336# #只有少时和Dreamcatcher能让我心甘情愿把她们所有歌从头到尾听一遍现在是少女时代以后是少女时代永远是少女时代
1656207823# #整无语了太开心
1664410634# #马
1636438227# #亲亲亲亲宝贝
1633527799# #真好哇
1588823223# #悲伤太慕了啥时候我也能用手机拍出这种效果……
1644918326# #爱情神话完全是我的观影取向。。真的满满惊喜，啰啰嗦嗦了一堆，最想说的名字部分还没说。。在还没看的时候就已经知道这是一部平淡的电影了，虽然没看过费里尼的《爱情神话》，但"神话"和"平淡爱情"的对比本身就非常有意思。。影片最后大家围在一起看电影，放映机灯光闪烁，其实他们看的又何尝不是每一
1584416208# #热评第一那个真的有脑子吗微笑各国华侨在中国爆发的时候为国家做的事都间歇式失明看不见了是吧？难道不都是中国的同胞吗非要这个样子………真的无语………
1646281674# #Repost
1654609604# #Repost
1691076342# #已经狠狠购入加油包🙌实体书已经够艰难了能支持的一定要支持一波
1677501241# #今天看到个外卖叫强盛鸡团😅
1636257079# #天天开心打call
1575957977# #冲鸭
1629360454# #怎么会有这种心理扭曲的人啊…
1567912936# #Repost
1620114566# #想到以前小学班上被班主任各种吹捧的才女才子。捧杀，有捧才有杀。
1587742723# #《我们与恶的距离》男主真人版原来真的有这样了不起的人呀
1628620262# #当政治影响教育，却让学生们来为他们的无脑政策买单？好像这样就能提升文化自信了一样，真的可笑又悲哀🆘
1619408228# #保佑能顺利到达别出问题了作揖作揖
1641313188# #宫崎骏和吉卜力永远是初心！
1647955004# #为啥？这也能被封？？？。还有昨天腾讯新闻做的祈福页面也莫名其妙404了……离谱裂开
1616032522# #好草
1592757893# #这么多年过去了他咋还是少年音跪了
1692883003# #希望这条不会被404，请尊重科学
1572319393# #教务处我吃柠檬兔子兔子兔子
1702537564# #一年间一次新冠两次甲流，次次发烧好几天……真的感觉重疾险很有必要了裂开裂开裂开
1586227411# #可爱死了ww
1625232508# #这27不比270的值钱多了？跪了跪了
1618136414# #上帝啊一边听WithinTemptation一边蹬个三公里的椭圆仪真的爽到爆重金属万岁！
1659520767# #妄图和网友讲道理的想法无论何时都显得太天真了🤗某些人的目的达到啦🤗
1613056095# #doge
1569942645# #Repost
1620852296# #打扰了今天和本专业的姐妹一起出去吃烤肉人均30磅微笑妹妹们一个个打扮得花枝招展都市丽人穿着初夏的衣服甚至穿超短裙露腿只有我一个人穿着宽宽松松的卫衣是真的肥宅跪了第一次和班上的外国同学一起聊天结论:英音可太太太难懂了
1602220225# #字节跳动群面。值得反思和改进的地方太多了。但我是辣鸡这点已经确定了悲伤
1641313686# #之前也一直在思考人生的意义和价值是什么。在经过前几天医院陪老方还有最近身边的经历之后，晾着衣服忽然想通了。可能对我而言人生的意义就是身边人能因为我的存在而变得幸福开心一点，会觉得“啊有这个人真好”。没什么比认同感与归属感更重要了。。可能这就是巨蟹典型的理想主义和自我感动的毛病？不
1676568892# #杨超越模仿疯驴子本来觉得没有偶像包袱模仿一下还挺可爱结果看到评论区和广场全是空瓶的真的无语到不行拜拜不会真的觉得这样能起到正面作用吧拜拜拜拜
1684074041# #哈哈哈哈哈哈哈哈哈哈哈哈怎么这么好笑
1569942350# #Repost
1626296327# #Repost
1612280760# #永远爱草莓子
1651503527# #今天就是一整个荷尔蒙飙升的节奏亲亲亲亲
1580624057# #我哭得好累
1574778848# #和爸爸妈妈打电话的结果就是。现在好想跑回家在楼下点碗香香的牛肉汤把汤全喝完的那种。或者妈妈煨的罗宋汤也挺好。只要回家就好了失望
1600432847# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我光速加入！！！
1617276407# #妹妹保佑明天德语专八！！哆啦A梦亲亲
1628893375# #看完《啊因为是男高所以很幸福》再连看几支MV之后真的还有人能抵挡得住N.Flying的魅力吗？！我晕倒了怎么这么帅又可爱啊55555
1618144071# #点开之前没想到这么好笑
1611323571# #笑了。不愧是我讨厌的男人。不愧是我讨厌的人会喜欢的人赞
1584679040# #脑子里开始写小说了跪了
1562156178# #卧槽网易云暂且886
1592568068# #我小破传有排面啊doge膜大佬www跪了
1638626513# #学习了
1604165518# #又名：种树也要有仪式感
1643722864# #🐎了明年春晚看嘻嘻
1646928482# #Repost
1604383924# #内心毫无他念只想学习只想写论文哈哈
1564174249# #妈妈又可以了跪了跪了跪了
1635311878# #哈哈哈哈哈哈哈哈救命是我本人了裂开
1609143180# #生日快乐宝宝子！！
1558247941# #超想揪儿子的小嫩脸dogedoge
1589301130# #哦？？？惊了嘘
1575201198# #Repost
1594054483# #人活一天就不要白活。。。对不起昨天又白活了，今天一定加油黑活！
1558512209# #我可以已经说倦了拜拜拜拜
1581152982# #Repost
1614697853# #今日网络冲浪有感:不知所云自作自受贻笑大方费解
1574862131# #我死了啊啊啊啊啊啊啊
1647658950# #救命……我真的会谢单身狗裂开裂开
1654305515# #居然开评论精选…无语
1625696183# #这还只是进了决赛这要是真夺冠了英格兰得疯成啥样啊哈哈哈哈哈哈哈跪了
1631707324# #🆘世界上真的会有不喜欢小熊猫的人吗？不会吧不会吧不会吧
1642246078# #还能回家吗泪泪泪
1602605544# #失望
1589413427# #🍉……
1655484283# #静态已经美到不行了动态更是让人惊叹的好看啊抱一抱
1678679459# #太棒了！！！
1655028571# #想起《性教育》里的那句“IT’SMYVAGINA”
1613733627# #拜托各位看房的帅哥靓女走过路过不要错过！！可大刀可小刀！！合同到9.4随时🉑入住救救孩子悲伤
1627744517# #太损了立马转
1642072391# #反复学习
1556195076# #小企鹅太可爱了呜呜呜我爱了
1629976996# #赞
1589904299# #噢我可以！！
1622309972# #跪了
1597321609# #我可太爱吃炒面了！！。说句安庆炒面天下第一应该不过分吧馋嘴
1575555694# #都给我哭失望
1664701945# #说什么大实话打call
1617855633# #肚子咕噜噜
1574499825# #这句最喜欢
1632837758# #好耶！
1654226173# #大家都知道问题出在哪然后没有然后了
1692529255# #Repost
1579883046# #希望大家都能平平安安的心
1560548524# #那年春，我把桃花切一斤。
1602127459# #太好笑太费解了8费解费解费解
1654225092# #goodgood
1614862161# #史上最大的难题:柴犬和柯基如何二选一？
1598926279# #很多喷子对于月经贫穷连最基本的认知都没有也是很可悲了
1587646871# #人生识字忧患始。
1626723513# #晕太可爱了吧
1653206468# #在仔细阅读之前我瞟了一眼觉得确实文灶华丽而无实质内容，但细细看来其实作者的行文是很有逻辑的，从普遍性到个体性，从一般意义上的典范到不遵循常规的个案，个人觉得老师给的评分和赞誉没毛病。
1663430464# #好看！！
1666793115# #doge
1605544349# #学到了谢谢嘻嘻
1647095631# #好可爱抱一抱
1594792749# #莎莎！！
1631984817# #16岁的好友26岁还在身边想想初一到现在已经正好10年了。小学时候最好的朋友们还有初中时候最好的朋友们现在依旧玩得很开心(虽然也会有人渐行渐远)，10年+的友谊长跑无压力。真爱我的好姐妹们awsl
1579008365# #水猪让开放我来困
1608729947# #Izzy是天使吧！努力从我的垃圾essayplan里找出能夸我的点，写了超长一封邮件告诉我howtoimprove，又把附件文件里面的语法用词错误都给标注出来了。怎么会有这么天使的助教啊啊啊啊啊感动哭辣！悲伤
1649693909# #裂开裂开
1583413148# #救命啊翟潇闻会贴双眼皮贴了5555555真好看
1613054813# #太美了doge
1629547530# #转需
1664702161# #dogedogedoge我信了
1693405827# #恋童癖问题在我国真的很不受重视，希望能逐渐对未成年保护起来。顺便，社会的幼态审美真的很纵容恋童癖
1635499281# #站起来露出黑色腹部是小熊猫的一种防御方式，并不是在展现“可爱”。小熊猫是一种很敏感、容易激动的动物，不适合任何近距离的接触！
1593183163# #他真好悲伤
1622062068# #太好看了吧！！
1607570523# #痛定思痛一心学习拼命看文献争取下次论文拿distinction拉回一点平均分小黄人委屈
1683651671# #记录一些历史时刻嘘
1680159048# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1574674635# #卧槽？？？？？？？真的是宇芽？？？？？？
1535069432# #太可爱了哈哈哈哈哈哈哈想啵啵
1667106196# #Mark
1602754269# #今天老师讲StanleyKubrick的时候随口提了一句才知道原来ChristopherNolan是UCL的人啊啊啊啊啊。我快乐了以后可以吹牛是诺兰学妹了。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈doge
1581615482# #在这里我很想感谢老方的前女友瞎了眼伤害他逼他走才能把这么好的一个男孩子送给我。由衷感谢。如果她以后这辈子能别继续纠缠我们就更感谢了。好人一生平安
1618631002# #🆘
1609559413# #各种评论区才是最有意思的
1703293399# #💯
1632847133# #什么时候我们的政策和措施才能带有一些温度啊……可能从某些领导层停止“毕竟只是畜生”这样的想法开始吧……？
1615024678# #馋嘴
1582384596# #我的恋爱小瓶子
1632818483# #每次经历群面的尴尬之后都只能以一句“没事不要脸地冲就冲了反正也没人认识我”来安慰自己不做人啦jojo苦涩
1694452583# #难得赞同老胡一次🤨
1651191405# #伤心
1654996715# #好绝
1632742782# #是会记一辈子的教训。被自己气到想笑了。
1623768251# #我笑死
1575531436# #转发了我也能成萌妹🐎
1587558469# #🐎🐎🐎
1611922858# #美丽新世界！
1667483799# #推荐大家看看专门的纪录片《华工军团》或者《潜龙之殇：一战中的华工军团》请不要忘记这些为了求生存而奋斗的人泪
1621544802# #get
1563659117# #卧槽卧槽卧槽我尖叫得好大声跪了不知道是应该羡慕水泥还是羡慕翟潇闻了拜拜
1690333624# #Repost
1632050317# #褶子一个挑眉我直接不行了色全员衣品都好高呜呜呜i了i了
1581996006# #你不要太过分啊张元英啊啊啊
1572717906# #qejj辛苦了
1582164764# #要听话早起早睡天天开心
1574910594# #哦呼！！！
1643718518# #哈哈
1636776807# #尚气与十环传奇个人看完之后的想法是，电影本身质量不够高，台词一看就知道是英文翻译成中文的感觉，剧情不连贯很多地方为了设定而设定，看得人莫名其妙。但是制作方对中国市场的诚意非常明显，打斗场景很优秀，也致敬了逃学威龙和卧虎藏龙，那么多中国元素被处理得挺不错。。如果真的觉得电影不行
1555112087# #我纯甄小蛮腰创造营2019加油能量榜为补充能量，见证你成长为更好的自己，期待你今后更出色的表现！@微博综艺
1619984366# #史上最努力隔离人员:一个人干掉一电饭煲的辛拉面+各种乱七八糟的蔬菜。想不明白肚子怎么能一次性装下1.2L的玩意儿直接撑死。肚肚你辛苦了悲伤
1654609017# #卧槽？？！
1577809195# #新的一年也很爱你！！！
1636206428# #喜欢
1634651248# #人帅声音也帅死了55555大叔的魅力无人能挡
1677774081# #转发微博
1587212334# #哈哈哈哈哈哈哈哈哈哈哈哈哈笑出猪叫
1637584062# #是我谢谢
1602088684# #评价都太真实了……这样的微博真的太无趣了当然不仅是微博整个舆论生态就这样还能指望什么呢哈哈并不简单失望惯了也就懒得说话了真的会很受伤
1626044428# #看一晚上看了个寂寞跪了。英国:沉默沉默是今晚的康桥。除此之外只有刚刚结束比赛时远处大哥的哀嚎“NONONOOOO”
1690083354# #真好🥹
1629751687# #小狗勾🥺
1619985815# #转发微博
1628161142# #女孩子是世界上最美好的东西吧
1582178460# #微风
1623271095# #海底捞等我拳头
1649151097# #IVE新歌巧妙地介于好听和不好听之间……。我belike:哦哦好好听！——好像就那样——眉头一皱——嗯？又变好听了跪了跪了。不过可以冲副主打也很好听！我的芙心忽然又复活了抱一抱
1600443282# #啊啊啊啊啊啊啊啊啊啊
1601742649# #TRUTH.
1603037244# #才长出嫩芽就又被践踏成荒漠了真逗微笑
1600494734# #分享一些刚刚在文献里看到的很好听的颜色名！。。Peachblow桃红。RoseDorée金黄红。Purplehaze紫霭。FleurDeLis鸢尾。Azure天蓝。Nocturne夜景画夜曲的那种感觉。Verdante翠绿。AcquaGreen水绿。Argent银白。。不知道翻译得对不对。反正听起来很好看就对了awsl
1628963435# #麸质+鸡蛋过敏患者太懂了！生活真的好苦苦涩中国比较好的地方是有很多米粉做的食物，但是食品标签上几乎不会有明确的过敏原材料信息，欧美在这方面做得真的很好，所有餐馆和食物上都会标注可能导致过敏的原料比如花生小麦鸡蛋乳制品，而国内家长只会说怎么这么矫情呢没事多吃点身体就自然习惯了顶
1575028871# #记录初雪❄。。其实没有浪漫的桥段雪花也很小但是初雪的象征意义本身就已经是一件浪漫的事了听到这两个字的时候脑中充满一切美好的词语没有那么冷就连走路都想蹦蹦跳跳。。只是有个能一起看初雪的人就更好啦
1636860135# #我真的不懂这种连公章都没有避重就轻混淆视听的通报怎么好意思发出来…人家去隔离点但是宠物留在自己家，房门上锁有问题吗？警察有什么权利破门而入？还有把狗狗活活打死居然说是“无害化处理”，我看有些人才是最有害的哈可爱
1612171072# #doge
1589904833# #哭了哦给孩子一个机会吧嘤嘤嘤
1634462731# #好温暖的安庆话哈哈哈
1602173390# #马住以后在宿舍做泪
1613055829# #哈哈哈哈哈哈哈哈哈我笑死了
1613067484# #给我报销十八年账单万一呢如果呢doge
1647613987# #跪了跪了
1582164595# #艹太好看了
1693114541# #和🍔的美好时光&和其他猫猫的偷情铁证
1574668628# #晕了现场全开麦还这么好听是真实的吗疑问
1591584753# #一周年快乐噢小企鹅蛋糕
1641974017# #就这还有人能洗吗疑问疑问疑问
1611666859# #终于体验到和一群外国人一起上课的感受了一堂课一句话也说不上来然后那些外国同学也不知道哪儿人一个比一个英语说得好三周了没发过一次言55555又是因为自己太菜而抑郁的一天泪
1625918655# #生病
1621637028# #憧憬
1629468405# #好草啊……
1644890383# #牛牛子！！
1601702098# #续上了开心了亲亲。LovesickGirls里面智秀扎马尾也太好看了。我永远爱美女亲亲
1618902569# #吉卜力yyds
1665452137# #是有什么疾病吗这个社会？
1608869678# #柴柴怎么这么可爱啊！！！
1697386011# #还有那么多人赞成的，我看你们就是温水煮青蛙不沸腾都不知道自己亖期已至微笑
1590637563# #哇A站真的很会反思一下B站买的好多番都是个啥啊………doge
1685681178# #没错
1629103641# #塔利班是什么组织这么关注阿富汗的事情是因为之前在德国上语言班的时候，全班最可爱的人就是一个阿富汗大叔，口语比大部分人都差但特别敢于表达自己，为全班带来了一次又一次的笑点。当时第一次接触这么多阿富汗伊朗叙利亚人，曾经只在新闻里见过的民众都成为了一个教室里说过话的同学。从此，深深
1622414855# #威胁罪要是真实行了得抓多少微博网友啊doge喜大普奔了简直
1574692637# #童年满满的回忆呜呜呜乌贼娘赛高悲伤
1654173296# #唯有你可以定义自己
1558217733# #我纯甄小蛮腰创造营2019加油能量榜为补充能量，见证你成长为更好的自己，期待你今后更出色的表现！@微博综艺
1548533985# #真滴希望每天都能像它一样开心doge
1610035351# #喜欢子
1682958625# #要大笑，要质疑，要自由的表达，要永远年轻自信。。。烟台黄渤海迷笛迷笛音乐节
1655040689# #马一些美女动图色
1603189703# #看微博太窒息看评论好解气作揖
1610343936# #好家伙我直接好家伙想直接按头
1692074925# #亲死亲死亲死一口一个色
1594198658# #真的无语子那个说各种岩没分清楚过的在逗我吗最基础的基础知识都不会还参加啥高考呀疑问
1618056054# #订过的两趟航班……英航直飞莫名其妙取消了，维珍莫名其妙改了航班导致中转时间直接变成24h+，现在只求吉祥和芬兰航空给点力别搞我了拜拜拜拜
1635041060# #分享图片
1618244017# #💜
1555950539# #我纯甄小蛮腰创造营2019加油能量榜为补充能量，见证你成长为更好的自己，期待你今后更出色的表现！@微博综艺
1629657047# #真•小精灵爱你
1630901228# #今天也很怀念维也纳的饭菜苦涩。Butt如家这儿的工作人员也太好了为了帮我打恶心的大虫子专门换了一套防护服上来感动+10086苦涩
1626190316# #吃到了这辈子吃过最美味的樱桃泪。个大饱满肉感十足还特别甜而且价格也挺便宜泪。太幸福了！awslawslawsl
1575469309# #笑出猪叫哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1695359425# #哈哈哈哈哈哈哈哈
1613236283# #401天＋情人节的快乐。花哪有吃的香馋嘴
1550792167# #出分前转一波超越妹妹绝对没错作揖作揖作揖
1662857951# #没有法律也可以直接逮人啦？
1648281652# #哇塞太美了抱一抱
1647707953# #马住
1688139796# #我接🙏
1653315958# #Repost
1635244487# #艹哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈怎么这么好笑
1592760561# #
1692528946# #伟大的……………………
1550177789# #Repost
1537756327# #太帅了呜呜呜我暴风哭泣
1573989400# #我不活了啊阿啊阿啊阿啊
1610858424# #马不过在迪士尼不管怎么拍都挺好看的其实🥳
1588040605# #Repost
1636804531# #追忆似水年华心
1652882873# #郑秀妍张天爱吴谨言女团舞有一说一，Jessica在韩国女团届都是标志性人物，少时有多牛影响力有多大只要是混过韩圈的人都知道吧……这个实力站C真的没什么好diss的，更何况只是这一小段三人舞视频里的C位……黑线
1644943716# #真好啊真好啊
1701474764# #Mark
1574161727# #Repost
1615371864# #忽然想起来前天晚上梦到孙璟秋瞳梦里都给我甜得尖叫杰瑞
1596426330# #马住
1667121991# #“目前，没有证据显示狗猫等宠物会感染新型冠状病毒(2019-nCoV)。”
1595814297# #cp26不是去过漫展的人都知道本来给coser之类的人拍照就都是360°站一圈围住拍的她说不知道有人在后面拍照我是不信的疑问。以前又不是没有coser在漫展上走性感风……这事儿说白了就是你情我愿一个愿意露一群愿意拍就这么简单现在话题已经完全跑偏了吧嘘
1618205883# #哎…回来吧但是也别回来了悲伤
1591942966# #这张也好帅啊呜呜呜呜
1662398991# #Repost
1633931343# #生活需要一些期待挂在前头作为指引
1633965270# #卧槽我一个爆哭怎么会有这么美丽的女人色
1654173207# #永远要有仰望星空的心境
1620426267# #罗老师是真的配得上老师俩字儿瑞思拜
1600750089# #周震南+任豪……？哆啦A梦吃惊
1628160427# #哈哈哈哈哈哈哈哈哈哈网友的智慧中国赞
1631425525# #所谓成长就是不断发展自己真的很垃圾然后试图改进的过程吧泪。但是真的好苦啊失望失望
1635858056# #画风i了i了
1684201114# #来了来了
1652251469# #马
1640070276# #土象电台承包了我最近上下班的开心时刻过分好笑了。小宇宙真好已经代替网易云成为心目中等地铁必备APP了憧憬
1631599672# #怎么说呢，最近又开始思考人生。在某种程度上人类最大的痛苦来源就是攀比行为。作为一个很要强的人，其实我一直相信努力的话一定能做好，对于大部分事情都是这样相信的。如果没做好，只能说明自己不够努力。这样看来我其实算是社会达尔文主义的认同者，不过是只针对自己的社会达尔文主义罢了。。和很多
1585982681# #附议
1574906903# #是永远会喜欢的弟弟兔子
1579765793# #二哈
1619853431# #好棒抱一抱
1588568182# #doge
1545927848# #你们也太甜了吧！！！真滴超想找个外国小哥哥谈恋爱了失望小姐姐也行啊！
1603300565# #一晚上三个Meeting，一节阅读课两个社团活动直接整到十二点半，明天两节必修课的电影和Lecture还没看Reading估计也没时间碰了。人没了困。忙起来真的没时间矫情，也没时间刷微博摊手如果你觉得心情不愉快深夜难过还总是忍不住视奸窥屏，那么乖，去学习吧。
1600679090# #一群人在辱骂一个人，如果你不加入，那你就有罪，也活该被骂。。一群人觉得一个人该死，如果你看不下去了说上一句，那你更有罪，活该被喷成筛子甚至打上和那个人一样的标签。。。他们自以为做的是正义的事，却不知道行为有多卑劣。。。这就是如今微博的现状，也是几十年前某场文化运动的经典场景，。如今在网
1646922390# #和最近发生的事一联系，真的太好哭了单身狗我已经数不清这两天鼻酸多少次憋多少次眼泪了。
1652333447# #广告绝绝子
1616081146# #如果在一天里跑了三公里打了乒乓球做了帕梅拉和美丽芭蕾，那么不管这天的学习效率如何都会觉得这日子没白过。比如今天。。KEEPCALMANDWORKOUT加油
1662789199# #哈哈哈哈哈哈要素过多
1587053785# #bilibili-(゜-゜)つロ乾杯~
1608908060# #谢谢谢谢谢谢谢谢
1586623322# #悲伤好心疼
1561144767# #
1575087192# #轰轰Marryme
1604392170# #哪个瞬间觉得你被爱着。。1.男朋友会偷偷从南京跑回来不告诉我，装作叫同学给我送东西让我下楼，然后忽然出现并享受我呆呆的目光。港真一直以为这是小说里才会出现的情节。。2.就算看见我全素颜的丑样儿也会夸我说挺好看的，就算知道是假的白眼虽然但是，反正现在越来越懒得化妆了。。3.从钢铁直男
1593017215# #Mac心前途可期心一起走花路吧！
1556101280# #闻妈牛逼！！(破音)
1584078449# #真是受不了这种女生啊………完全不懂有什么可爱的地方？真的身边有这种人你还会觉得她可爱而不是想一脚踢过去吗？？？
1619197970# #是有家人和好姐妹送机的幸福起飞awsl。芜湖！
1619203619# #爷吐了飞机出故障飞不了后来又说可以飞然后又把我们晾在机舱里半天最后说飞不了下飞机吧微笑下一趟航班也要改签了没见过这么恶心的服了微笑
1664358736# #好棒！！
1614096618# #太好看了太好看了太好看了
1576317752# #先看《风声鹤唳》再看《京华烟云》的坏处就是《京》上册马上要看完了才发现这俩原来是连环小说啊啊啊！！费解
1629673468# #小圆冲冲鸭！！！
1638115416# #救命小圆最后一个镜头杀得我人都没了憧憬憧憬憧憬
1582871998# #太酷了吧馋嘴馋嘴馋嘴
1651587771# #啧啧
1588822574# #今日感想
1651891390# #发国难财biss裂开
1646822783# #马住
1629039580# #金宰铉和翟潇闻长得也太像了吧总有种在看zxw打鼓的感觉哈哈哈哈但是车勋也好帅好帅实在没办法二选一呜呜呜失望一个犬系一个猫系都好爱啊啊啊啊啊亲亲
1645852888# #🐴
1587558096# #翟潇闻星辰闪耀二十一
1674315643# #春晚舞台完了小撒又要扣钱了悲伤
1537249327# #Repost
1575616971# #逐渐黑化太可爱了吧哈哈哈哈哈哈哈哈哈哈哈
1657461253# #看到辉夜和白银终于亲上的我:啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊给我亲！狠狠的亲！！！
1558428978# #我死了！！！！！！！！！！！跪了跪了跪了
1540319102# #小圆是个什么神仙妹妹！！！！！！！
1629548178# #狗狗爱好者真的看不得这种阴间新闻泪
1643649903# #谢谢虎虎憧憬
1647706115# #请保障基本的休息
1550659045# #张元英超话小圆与清新蓝紫色爱你绝了兔子兔子
1558987851# #头都笑掉哈哈哈哈哈哈哈哈哈翟潇闻怕是不会走路吧这什么傻子
1654923139# #原博是良心媒体
1592671659# #馋嘴
1581141016# #Repost
1592928244# #真的好好笑哈哈哈哈哈哈哈哈哈我笑晕了
1656224856# #……
1601299163# #Man是褒义娘就是贬义么设身处地想想，有几个女生会觉得man是种夸奖啊……。你可以夸她大气，可以夸她很酷很帅，夸她大家闺秀，酷T现在也早就算是褒义词了。。可能我敏感吧，说女生man或者说男生娘感觉都是多少带着嘲讽的不怀好意。
1629144851# #🆘救命啊救命啊
1591458825# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊整跪了@南挪北兔-
1657947549# #救救中文……
1627774250# #
1664417251# #老师发现6年级孩子看言情成风气花火、萌芽、天使.COM、爱格、最小说、漫客绘心……谁懂单身狗
1600791731# #转发微博
1620504172# #今天的晚饭:浪味仙＋草莓＋牛奶。快乐拉满了色
1598488745# #呜呜呜企鹅子太可爱了
1632386926# #最讨厌的面试体验就是面试官又凶又冷漠问完一个问题在听回答的时候面无表情也完全不对回答的内容作出任何评价或者互动最后干巴巴一句你还有什么问题吗？。搞得很像我欠她钱一样诶打压式面试也不至于这样吧苦涩字节的面试官就这态度吗……
1642001023# #咱就是一个三连的大动作
1582383831# #笑死我了哈哈哈哈哈哈哈哈哈哈哈哈
1677342366# #救命斯哈斯哈
