1695008041# #英特尔也是允悲十多年的命名体系说改就改
1690697843# #8万块的油车开8年都卖不到1万块钱好吧笑cry我8年的福克斯才卖了一万五
1703306822# #转发微博
1690945171# #转发微博
1693320507# #转发微博
1697932261# #牛
1697980295# #为什么要生孩子？
1692867585# #拍的什么玩意儿
1694605537# #希望别的奶茶店也跟进doge
1689601332# #哈哈哈哈哈笑死了
1699071921# #压力给到索尼24105GM偷笑
1695359421# #苦涩
1690779659# #増程在技术上算最简单的混动二哈电车背个发电机谁不会呀对用户来说，好用便宜不容易坏就是王道
1692276869# #我觉得这个人故意发给我看的。笑死
1692457206# #都用过腾讯TT可以随便离线比迅雷好用多了
1697211735# #最近种草了好多充电宝允悲
1694656206# #哈哈哈哈哈哈
1701223163# #二哈ddr5时机成熟了，准备崩盘吧
1694674779# #哈哈哈哈哈哈
1688385295# #哈哈哈哈哈哈哈
1699170512# #显个！
1699155167# #生死看淡，不服就干
1702643092# #等新加坡过峰了，国内起来了，要记得通知我。我要抓timing二哈顺便旅个游
1689076641# #转发给蛋糕店老板一个清白
1696599111# #灯光的艺术。笑死
1691391510# #没错
1690787113# #道路交通安全法实施条例第81条（二）能见度小于100米时，开启雾灯、近光灯、示廓灯、前后位灯和危险报警闪光灯，车速不得超过每小时40公里，与同车道前车保持50米以上的距离。到底是哪里教的不能开双闪？？碰到好几个人跟我说了，我一直觉得很迷惑。交规允许的啊吃瓜
1703415132# #赢牛奶
1696912281# #转发微博
1693285079# #代表车型不太行二哈
1692766856# #不，土的只是不会动脑子只会照搬的
1696773989# #哈哈哈哈哈哈哈
1694185617# #可爱捏
1695084308# #汽车是个大蛋糕
1698414836# #没错
1699666161# #转发微博
1694345159# #转发微博
1693918213# #自由美利坚
1688621485# #转发微博
1688715129# #哈哈哈哈哈哈salute
1689646170# #允悲有没有点常识啊没吃过鸡鸭头也吃过鱼头吧？还是说没见过避孕套？
1689912564# #美丽哈哈
1703387744# #草
1703846646# #牛批
1697860293# #马路牙子那个经典允悲
1700201208# #转发微博
1702378658# #这是照片？？哆啦A梦吃惊
1688649446# #看了好几次哈哈哈哈哈
1698848154# #官方下场搞事情？允悲
1704287496# #人和人真的不能比。有些关系很好的朋友请你帮个忙还各种客气，送吃的喝的，有些不熟的人怎么好意思突然发个消息帮我xxx的？你谁啊你并不简单
1692087979# #扩招带来了另一个红利，读懂哲学书的人越来越多了:不生是一种美德～这句话不是随随便便什么人都能说出来，能懂这句话也不简单。
1699831893# #转发微博
1698338230# #转发微博
1700192006# #如果这个消息是真的，A4纸就是实锤里应外合。
1702216599# #好强
1696935972# #京东京造的售后是真不错二哈第二次给我寄配件维修了。就是质量不咋地允悲
1687776290# #哈哈哈哈哈哈还是妈的正版
1695489855# #1112
1697931760# #早饭也真不错二哈
1701845134# #有点意思
1695706724# #求饶
1691625316# #转发微博
1702875248# #嘤！
1696225204# #转发微博
1703865145# #大晚上出去溜达一圈完成了近期首次闭环允悲
1692349152# #哈哈哈哈哈哈
1702272316# #之前还有实习生骂不近人情的二哈每一条规则的背后都是血（钱）的教训
1697097885# #泸溪河的桃酥不好吃啊，怎么当年那么多人排队的二哈一点不香。比不上鲍师傅的，甚至还不如糕大师
1701100559# #这一辈子，得为自己而活吧
1697441040# #转发微博
1688978460# #坦克500doge
1694052188# #哈哈哈哈哈哈
1687778767# #高血压就算？？
1704125076# #转发微博
1699573591# #转发微博
1689081116# #？
1697355367# #转发微博
1702259216# #二哈
1701513282# #草
1697427154# #哈哈哈哈哈哈哈
1690268047# #苦涩
1703728538# #哦吼
1698753816# #转发微博
1695267911# #内地国产疫苗男性实验已经开始了，不知道啥时候会开放
1703939260# #脸好疼啊
1701821446# #转发微博
1689897212# #哈哈哈哈哈哈
1697643933# #这十年所有主力机二哈
1703140353# #傻逼平台。狗都不用
1703226839# #🌿
1699366915# #哈哈哈哈哈哈之前看到的以为是往下歪，结果是侧面的
1688527358# #转发微博
1696729863# #哈哈哈哈哈哈让传音做到苹果的价格，那为什么不买苹果
1687689701# #哈哈哈哈哈哈
1688600329# #草
1699524540# #可爱
1701165301# #cmm在x上那个瓜。图真的假的二哈如果是真的，那我称之为换头术
1688701672# #转发微博
1694328756# #哈哈哈哈哈
1702739385# #移动支付巨和摄像头真是大大降低了犯罪率。
1689645215# #转发微博
1701615746# #围炉煮茶烤肉半夜十点吃醉蟹开学季快落
1702541246# #哈哈哈哈哈哈
1696829763# #看上去那么高大上的项目预算只有那么一丢丢二哈估计只够那几条路路口的硬件设备吧
1694075336# #NFC吗二哈
1701940383# #摸了一天鱼啥也没干
1694518155# #主要问题是一般镜头喂不饱高画质机身允悲内存卡都是小钱了，G和GM镜头太贵了
1692692253# #哈哈哈哈哈
1694156193# #RGB！
1691045070# #前十五个吉利集团允悲
1703563644# #天大地大吃饭最大赢牛奶
1699157063# #是真的允悲裤子洗一季就废了
1694152079# #小翁和妈妈很棒～医生不行……生长发育都是正常现象，根本不用吃药啊……
1695372244# #好办法。
1703233012# #转发微博
1697983029# #转发微博
1696637435# #转发微博
1694954331# #北京有什么玩的。。二哈除了看看历史建筑和博物馆
1697182635# #看来是时候换设备了允悲这也太便宜了。我还用着1080p60呢
1703663603# #啊啊啊啊啊啊终于通了！！！！
1703060876# #转发微博
1702541832# #让公司发新手机doge不然不干活
1693911987# #哈哈哈哈哈哈哈
1688096737# #二哈
1701231563# #cmm那事咋还在吵二哈太搞笑了真的是。一个教训就是千万别把工作和生活混在一起
1698306525# #转发微博
1689088293# #转发微博
1702956293# #座椅加热用高压电池供电是好文明开学季午睡的电热毯
1703726094# #笑死了。这博主是弱智吧允悲看动力比极速一开始还以为是正经曝光，看了几次发现是个没文化的黑子
1689820925# #很多人消费高是因为根本没自己过过日子黑线并不是他们有钱
1693292619# #这续航很顶啊二哈全程2k+高刷
1696656976# #转发微博
1699757761# #雾霾严重了，韩老师选择了吃药，而不是用空气净化器或新风。科幻作家用自己的人生书写科幻笑而不语
1690377689# #神经病，让你露出内裤又不是脱掉内裤。到时候你衣服裤子上的拉链扣子之类影响结果了怪谁？医院的每一项规定背后都是有教训的
1690899619# #网袜不行
1701430783# #转发微博
1698218040# #京东金融算吗doge
1698976739# #允悲我觉得政策也没毛病，免费是给你开车的电，要薅羊毛就是另外的费用了。不过每个月15度也太少了，50还差不多。
1700181214# #所以🍠都是什么女厕开学季
1694085293# #哈哈哈哈
1696588054# #瓜子？？
1701866440# #？？？
1689488294# #草
1698158278# #草
1697540048# #转发微博
1700541999# #好涩
1698044279# #转发微博
1691110507# #那你生了干嘛
1701952151# #小米能首发卖100万doge
1699073116# #看做法像广式的，看加料又是潮汕的二哈
1691397551# #还行doge五六月份给他们技能竞赛做裁判混了37.5小时加班+6顿饭+300购物卡
1690938393# #霍，果然微博和小红书评论是差不多的。人家这要求也不高啊，而且都年入25了，很多小仙女是不是不清楚自己的定位？
1702794811# #哈哈哈哈哈哈
1699499038# #哈哈哈哈哈哈
1697603344# #好想法
1697374475# #好强的动手能力允悲
1697002841# #转发微博
1696663805# #好高清
1694496074# #红红火火恍恍惚惚
1687777952# #看着像豆制品允悲
1699523854# #这玩意儿怎么做二哈我也想整一个
1695121214# #点名杭州
1690698018# #傻逼哈哈哈哈哈
1701304861# #蜡烛蜡烛蜡烛
1699704829# #可爱呢
1700146722# #可爱！
1698814123# #APO其实是个手段而不是目的，某种程度上来说在相机镜头上已经算是落后技术了，我能车一片萤石解决的问题为啥要用三片APO呢
1690664585# #转发微博
1689737104# #其实我一直好奇，为什么公积金余额不能支付首付。。非得别人借钱出来然后再提取
1698814210# #二哈我买了个鱼竿厂的256G给极空间做缓存，几乎感觉不到哪里快了。。算了反正也不贵
1699060691# #转发微博
1703411494# #哈哈哈哈哈哈
1698825485# #允悲所以最终归宿是用风水太阳能电解水储备氢气，然后发展氢能源？（最近在跟博世氢能源谈项目）
1694616360# #转发微博
1701096678# #转发微博
1696300054# #carplay像个游戏机喵喵
1698509881# #小公司老板不会愿意花这钱的二哈
1699971182# #评论笑死
1701516391# #转发微博
1701307790# #转发微博
1690335505# #竟然70了
1702811151# #下周刺激了
1696822834# #起不来
1704181666# #牛
1695260298# #电动化搞不动doge引进中国车吧
1689850436# #喷射华莱士
1698281541# #好想法
1690650110# #瘸了脚也要约饭笑cry顺便把铃芽之旅补了
1697679670# #还是得继续说，目前以色列的执政党是由联合国(包括英美)认定的恐怖组织伊尔贡发展来的
1697439843# #好强
1688096964# #哈哈哈哈哈哦心
1701427100# #牛批
1701451330# #牛逼
1693662343# #转发微博
1696330448# #转发微博
1696323237# #几何+银河+极氪加起来无敌了二哈
1700281456# #哈哈哈哈哈哈哈
1703029205# #哈哈哈哈哈哈好帅
1689513689# #现在的互联网太极端了允悲
1693313805# #转发微博
1696053338# #哈哈哈哈哈上次看到个迪迦
1696830939# #二哈杠杆低一点就无所畏惧
1696408378# #商业的本质是让企业们凭技术、凭品质、凭能力充分竞争，优胜劣汰。但是现在，头部主播们靠着市场支配地位轻而易举地虹吸了社会上绝大部分的财富。
1699666574# #哈哈哈哈哈哈
1693624996# #安卓公版与苹果特殊版的差别在哪里呢？安卓版5000万像素，苹果版4800万像素，有局部MaskPDAF。除此之外，其他几乎一样。笑cry
1693791613# #二哈以后低制程工艺真要白菜价了
1703341077# #这种真的就让他解脱吧。。认知问题说不听的
1693820603# #弱智公司，远离
1692661168# #哈哈哈哈哈
1698572212# #苦涩
1692463733# #哈哈哈哈哈哈
1692854609# #n年前在四川泸州的一个菜市场，当街行凶的受害者在地上血流喷涌不止，我冲上去用衣服压着试图止血直到救护车赶到才走...但很遗憾割到了大动脉感觉救不回来汗
1688613026# #允悲
1699249927# #这顶上的黑色像个盖子，想扣开
1699102111# #我觉得外婆家的我还挺喜欢的二哈
1689684069# #哈哈哈哈哈哈哈
1701945462# #转发微博
1690436392# #8k60我不信
1688385314# #创世战车玩家
1703402553# #转发微博
1688715840# #典
1702909801# #草
1690770031# #挺好的。关我屁事，关你屁事能解决好多事情。这个世界不需要共情，善良和真诚太容易被利用了
1690867510# #？？？
1701617540# #转发微博
1691030048# #...
1689737762# #邦邦硬的坦氪
1695602891# #！？？？
1702954631# #红红火火恍恍惚惚
1704091737# #哈哈哈哈哈哈
1687795269# #参考一下
1694075131# #摸了一天啥也没干二哈
1703129040# #这
1696915700# #大哥的一通话可以当做经典教材了dogedogedoge，能打赢版本，还一挑二还做到了碾压，太不容易了dogedogedoge
1698059731# #啥玩意儿允悲
1699949198# #草
1701491378# #转发微博
1694413740# #转发微博
1702628427# #转发微博
1702019205# #允悲突然接到个外卖电话，太客气了呀，我还啥也没干呢
1696053545# #“我公婆他们每个月其实花不了什么钱，我感每个月200足够了”，蚂蝗见了都绕着走，资本家听了都流眼泪goodgood
1703675686# #转发微博
1690621547# #可爱呢
1689299163# #转发微博
1703138299# #转发微博
1701323761# #防疫钉子户还在坚守未阳人的荣光。我也是受那个男人保护的人了开学季。威斯克安排上了
1700278536# #可是蔚来唉
1695120348# #转发微博
1694390200# #我们也差不多doge
1699524950# #我支持的，但是成本干不过dmi也是事实二哈
1704268621# #粘人精二哈
1701088203# #本篇栖霞山～枫叶真的太好看了
1693891471# #隔三差五去万达吃饭二哈
1690441699# #草
1689006511# #哈哈哈哈哈哈
1698038245# #转发微博
1697108969# #牛哦
1703681787# #乐。毕竟宗教
1701005657# #牛批
1697285435# #智利LS6的硬件配置绝对对得起售价。如果他是下一个威马，那只能说明中国的汽车市场劣币逐良币了二哈
1696322953# #苏炳添在2023年获得了2022年宣布的2021年举办的2020东京奥运会的奖牌
1703219088# #真离谱裂开早上刚出门开上马路就被人追尾了。看上去我就裂了一个塑料，结果定损跟我说后保险杠要喷漆，喷漆要三四天还不赔交通费。真滴麻烦。。元旦再去修了
1693892816# #牛批
1703682317# #支持开学季
1701058302# #转发微博
1692422471# #可爱
1702437514# #马克一下，估计不会去
1701330267# #天空的微笑
1693896257# #我一根6A的线叉所有啊二哈
1697106503# #移动3g也关了二哈
1695484864# #京东重资产。。营业的看不出什么，腾讯毛利率比京东高了不知道多少倍
1688121281# #哈哈哈哈哈
1698212738# #只看侧面根本看不出来
1690215338# #分享图片
1689941244# #看女方那边出了点什么doge如果只是房贷的话，外地人走开
1697537661# #再转一次。
1703564628# #转发微博
1694659428# #真棒👏🏻
1702137806# #我的嘴像开过光的。我再也不毒奶了我再也不毒奶了我再也不毒奶了裂开裂开裂开
1689076188# #真TMD就打性别牌呗
1694672541# #支持校长
1698022438# #柠檬水最多五分甜二哈
1694319547# #牛是属于经济损失，如果赔偿的是死牛和活牛的差价，那牛就属于农户，如果赔的是活牛的全额，那就属于保险公司。反正不会属于车主二哈
1690792216# #doge买啥不好非要买苹果
1690360224# #26键一只手怎么打
1690937561# #转发微博
1689670360# #A柱一点没变形牛批
1692229310# #🌿
1701527945# #转发微博
1703738577# #转发微博
1697359847# #转发微博
1701086652# #周末南京玩了一圈感觉比上班还累，但是自认为还是拍到了好多很绝的照片，所以一切值得赢牛奶。本篇南京红山动物园～。已剔除两栖爬行动物可放心食用～
1689416670# #太牛了
1695481534# #草
1689419257# #你好陌生人
1700803606# #还挺像我
1695017831# #2022年的星越L（主要是雷神？）车主注意看看行李架，最近好多行李架螺丝松了导致后备箱漏水的二哈直接售后去换四个压紧螺母。大多数是4-7月出厂的批次，官方已经通知召回升级，我9月的车也中招了。星越l吉利星越l星越l雷神hi·x油电混动版
1690544088# #哈哈哈哈哈
1696424748# #转发微博
1702270516# #为什么那么多人把路由器放弱电箱啊允悲允悲允悲又不懂，又是低端路由器，牛顿来了都救不了
1691236329# #再阳一次，低于200，就和晚期艾滋病人的CD4+差不多了doge
1694130622# #转发微博
1701927383# #笑死了，中年人也那么八卦
1695833402# #哈哈哈哈哈哈
1693477574# #希望投票的别口嗨，真的支持一下
1703833147# #笑死。身边30多的都一堆没结婚开学季结个毛线啊结
1688986871# #转发微博
1698661343# #草
1695211382# #笑不活了
1698910602# #吃饱了撑得，怎么不抬着走
1696129490# #我靠
1690535270# #尿不湿？
1696070859# #冰箱里有啥我吃啥之。虾仁海胆豆腐&amp;蚝油肉片花菇doge
1696075885# #要我肯定拍照doge
1689089910# #笑死
1702518160# #京东和顺丰是唯二会打电话问送上门的。这点我就吹爆哇
1691626329# #转发微博
1702804867# #6
1700443678# #转发微博
1687789423# #安全裤也同理我们为了防走光穿安全裤但是当安全裤不小心漏出来时别人会觉得你这是走光了真的很可笑的悖论
1703164294# #6
1695707509# #牛的。能做到这么绝的女生我觉得很少。男生都不多二哈
1689400091# #猪脚面开学季
1704351471# #韵达都是什么傻逼。快递员打电话我说给我放B区菜鸟驿站了，我说你给我送我们A区的来，或者丢我家门口电缆井里，他说他是代班的，明天让别人给我送来，过了会儿一看给我送到距离3公里外的别的小区去了。打电话快递员说你送错了，还要叫我把单号发短信给他，直接把我电话挂了。你算什么玩意儿啊？？
1703777997# #转发微博
1697950092# #不会做不要乱做允悲
1703467599# #转发微博
1696667770# #转发微博
1691317034# #转发微博
1697434097# #大多数人都不怎么用这些功能，要说的话安卓也都有替代。倒是IOS有一堆刚性需求直接是无法实现的二哈
1703744158# #转发微博
1697930950# #动漫社是计算机协会也可以二哈
1702032076# #转发微博
1702785027# #我的了开学季
1703959004# #所以现在一些甜品，烘焙店敢把一些不值钱的玩意儿卖那么贵哼还真以为中国人消费水平有多高啊
1694583165# #我记得好多年前牙膏厂还在14+++++就有人说finfet到头了下一步得看GAA了二哈
1689836486# #🌿
1697461179# #哈哈哈哈哈哈
1694772701# #不看直播啥也没买过二哈
1689063953# #男的也一样。要让自己精神文明丰富起来
1698751021# #转发微博
1704088766# #转发微博
1690427283# #哈哈哈哈哈哈
1692661315# #可是插混比油混更贵二哈高速油耗更高
1692968992# #哈哈哈哈哈哈
1698754288# #冲一个6500pro开学季
1703576622# #我爱看多来点微笑
1702268429# #转发微博
1702275387# #好刺激🌿
1697210576# #🌿
1702955711# #体育老师被气死了
1693787933# #支持校长
1689738490# #前脸呢
1698205025# #转发微博
1692586245# #转发微博
1698927998# #可爱
1694594627# #卧槽牛逼
1702738904# #我称之为近十年最强剧场版赢牛奶黑铁的鱼影
1690373919# #哇哦
1698730512# #鼠鼠我啊没了
1690892726# #嫌信号太好吗
1700210876# #可爱doge
1697641429# #成功挑战重庆辣哇。达成成就:我允许你在骨汤里洗洗偷笑被无锡人嘲讽了哈哈哈哈哈哈
1697883573# #西湖醋鱼。。我在杭州金牌外婆家吃的还挺好吃啊二哈
1703346691# #顺着投资公司找黑料真是笑死了允悲小米和雷军投资过的公司没有一千也有几百了，这都归小米管呗？
1700787995# #是，羽绒成本不高，即使是RDS鹅绒成本也不高，大头还是宣传，所以我更推荐大家去买黑冰、君羽、HWUL、天石这类既是国产老牌又不把钱投在什么广告主播上的品牌
1699336381# #好的，我去试一下
1692539566# #虽然不增税了，但福利也没了，其他什么也不管，没钱只能卖腰子允悲
1703060838# #转发微博
1698104469# #转发微博
1691030232# #卡塔尔的王子吧，他们网上征婚不会被喷
1702382096# #带几个砂糖橘哈哈哈哈
1701259797# #有人排队来了就吃真爽开学季
1703435372# #哈哈哈哈哈
1695707745# #doge国产越来越好，果子越来越拉
1693997562# #挨骂也是流量，流量就是钱，只要没人管，他们就敢继续这么干。
1697596765# #不到1%提升？二哈
1703832561# #符合抖音日常
1695440475# #配重块笑死
1701324288# #洗屁股
1688657987# #谐音梗.jpg笑死了哈哈哈哈哈
1699319948# #哈哈哈哈哈哈哈
1698930128# #哈哈哈哈哈哈
1695024947# #二哈
1687793713# #转发微博
1688225124# #哈哈哈哈哈昨天就是
1693624256# #挺好
1696999693# #草
1687842863# #典
1702028023# #新冠是个辅助啊二哈
1689319785# #以前是艺人，现在的部分只是是戏子
1701928099# #我发现一个神奇的设定允悲拍视频时候4k30可以从0.5x到15x四摄切换变焦，4k60就只能单摄1-6x数码变焦。什么毛病？是副摄不能直接输出4k60吗
1689637465# #日娃维权都要看微博，普通人怎么办
1689394287# #牛啊
1701826557# #转发微博
1689491268# #..？
1689942076# #马克明天再看doge我的雷神还有俩月也一年了
1689580427# #这迷你三脚架哪里有卖哈哈哈哈
1702380990# #转发微博
1687753206# #草
1690349798# #草
1689842095# #转发微博
1696258430# #其实是影调的问题二哈
1696595731# #这是玄武doge
1694663444# #哈哈哈哈哈哈
1690338548# #大锅的菜饭真的太香了！！
1702429057# #转发微博
1692772578# #真的。昨天只有一个领证一个晒红包一个晒礼物的
1703990167# #转发微博
1690775227# #？？？真的假的
1693557016# #转发微博
1688731574# #真的别瞎几把教。。
1690543232# #如果是真的这已经很乐观了
1699528629# #牛批。那10万以下不推秦了雷神混动无敌
1690413990# #草
1698920109# #蜡烛
1701300880# #猎豹的衣服哈哈哈哈哈哈哈
1698567450# #转发微博
1699080344# #笑死，这是小学里订的米老鼠杂志上写的东西允悲
1697181833# #转发微博
1691222709# #牛啊
1699178473# #哈哈哈哈哈哈哈满足中年人的猎奇爱好。我姑姑特别喜欢这种
1693559018# #谁能相信就这玩意儿我折腾了一天裂开隔一会儿就失败，微信一个进程能吃3G内存，然后黑屏卡死。重开还剩20G没传完，点继续传会检测完整聊天记录的体积（80G）然后说我硬盘空间不足（剩余60G）。什么狗屁逻辑zxl你🐴没了
1688449984# #才找出来这点茬，真是难为它们了，充分说明了产品力是真的强，卖得好是有原因的
1691076978# #你走了这东西还给下一个人
1690870231# #刚崴完，还好我每天走动二哈
1690943302# #哈哈哈哈哈哈
1702436693# #好干饭人
1687928708# #可爱呢
1703768897# #红红火火恍恍惚惚
1688730970# #doge
1698973186# #哈哈哈哈哈哈哈
1695440576# #doge
1698330179# #太强了
1700629489# #这不是和二线豪华品牌的车一个定义偷笑
1689944224# #转发微博
1702270342# #转发微博
1695121113# #牛批
1687790152# #我还挺喜欢西湖醋鱼的允悲
1694618232# #多少人的童年回忆啊。家乐福的烤鸡和烤香肠苦涩
1688611495# #可爱
1689149051# #牛批
1690772535# #转发微博
1701527729# #大概为了良率妥协了一个阉割版？doge
1701176631# #转发微博
1699574651# #做梦梦见我捡了一个特别通人性的小猫咪二哈能无障碍交流的那种。太可爱了
1694361009# #澎湃S2最大的难点其实是5G基带。。这个领域没人愿意带小米玩二哈买或者合作的话会让这个处理器直接天价
1692145594# #他都帮你整理好了直接拿着raw去起诉哈哈哈哈哈
1697525656# #为什么不倒厕所里直接冲掉。。
1688483263# #牛批
1691740713# #🌿
1697435332# #大功率充电桩的普及和后勤保障才是阻碍电车发展的最大难点了二哈现在高速服务区都有桩但是数量少，故障率也不低
1694044395# #牛批
1700571733# #转发微博
1692506464# #我们菜场的小商贩都比他技术好
1687945392# #好多助学金奖学金都没有给到需要的人。这是个好办法
1694353516# #转发微博
1692691681# #哈哈哈哈哈哈
1699518354# #转发微博
1695211135# #果然是李家坡的物价二哈
1700267890# #转发微博
1696736012# #有点扯淡。。升糖指数和含糖量是两码事。吃米饭干湿分离？干嚼米粒才能做到黑线
1688814131# #转发微博
1703673128# #捞一下之前电玩城的视频哦
1702955214# #好可爱小穿山甲
1698730469# #立体男笑死
1701619574# #会遗憾吗？多少会有点。。后悔吗？永远不会后悔的。。是好是坏，旅途的一切皆是风景，随遇而安。。现在的生活已经让我很满足了哇
1692770588# #哈哈哈哈哈哈
1690348361# #草
1704238729# #哈哈哈哈哈哈哈
1688977404# #我的世界哈哈哈哈哈
1696229476# #网友对吴艳妮的恶意简直堪比当年刘翔退赛。也不看看自己有几斤几两太开心都什么玩意儿啊义务教育就教出了这些小脑萎缩的东西？
1701663156# #哈哈哈哈哈哈
1696261332# #现在的移动硬盘外观做的也太科技了吧二哈就是盒子已经比硬盘贵了。。
1698462532# #哈哈哈哈哈哈
1689575291# #还带了两个给警察一个哈哈哈哈
1694002440# #哈哈哈哈哈哈哈
1698566125# #写春秋，吴先生走好
1699590723# #牛
1694145177# #我就是这种同事doge早上领导来说公司要组织架构改革，还有一堆想要推进的智能化电子化啥啥的项目，说看好我，我回答他这点工资我没兴趣，你去招高材生吧，看能不能留住他
1703499332# #转发微博
1688743077# #不知道是不是电源要寄了裂开最近玩创世战车一晚上电脑要自动断电两三次。。
1687736925# #笑死
1687775927# #哈哈哈哈哈哈
1699420489# #转发微博
1700636815# #太喜欢3.2x和5x了，以至于我现在主摄都用的少了
1699918771# #哈哈哈哈哈哈哈
1695992061# #太强了
1693265915# #笑死
1694282440# #Wow
1695469672# #为什么非要拿在手里开。不能放桌上好好拿吗允悲
1701938526# #转发微博
1703935115# #某家就是个披着红旗的蒋介石，有内患时对外不抵抗，一门心思剿灭国内竞争对手，外战外行，内战内行
1688817497# #草想要
1702040723# #非常做作的洗车方式：只擦副驾位和仪表台。上次朋友说包子的车里好干净，我说只有你坐的位置干净二哈昨天刚擦过哈哈哈哈哈
1702448986# #允悲现在的人都一点生活常识都没有了吗
1702597067# #转发微博
1703638587# #转发微博
1691025413# #转发微博
1695483716# #哈哈哈哈哈哈哈
1701937509# #要命的允悲捣腾个盘十几个小时
1689145502# #他可以在大屏幕上显示一个表。
1693448976# #六七年前200怎么活裂开我也差不多那时候，最起码七八百才够
1687917067# #哈哈哈哈哈哈哈吃饱了就开始给别人捞
1696167604# #允悲
1692273821# #还搁那自豪呢？想起一个怕狗的同事，因为上班一条路上有两条流浪狗，每次都得饶段远路
1690785777# #哈哈哈哈哈
1701941213# #转发微博
1691051294# #允悲时代的眼泪
1691214758# #抄x的允悲
1703390968# #小时候买过卤火鸡翅鸡腿脖子二哈其他的真不好吃
1696000635# #转发微博
1695103340# #这是哪里的广告啊二哈我从小米4c开始用miui，几乎不怎么看到广告啊允悲（我不用系统自带app，偶尔应用商城）
1702291929# #转发微博
1701994033# #转发微博
1688912291# #竟然有两个0
1698656841# #转发微博
1701248497# #OV的高端Cmos完全能用二哈花点时间调一下冲击高端不成问题。主要问题还是在soc和射频基带上。只有华为一家而且性能一般。目前只是0到1的突破，离好用还很远
1694561857# #韭菜盒子doge
1699237926# #转发微博
1703157943# #可爱
1689394222# #转发微博
1699498554# #哈哈哈哈哈
1699619037# #我的妈呀
1694020781# #假的不行允悲这怎么可能是手机
1692560372# #转发微博
1703142236# #可爱
1697351136# #周知
1696732170# #功耗炸了。四个x4啊doge
1696224409# #哈哈哈哈哈哈
1688527086# #牛啊64去掉系统，再留20%防止写放大，几乎就没得用了允悲
1701079649# #真的去查查cd4t吧。好多人免疫都崩了允悲中度免疫缺陷
1695339416# #哈哈哈哈哈
1688898640# #？这会儿不性骚扰了？
1688012684# #笑死
1702907903# #转发微博
1688865780# #哈哈哈哈哈哈
1696899235# #转发微博
1698678966# #遥遥领先！
1699438309# #哈哈哈哈哈哈
1691211697# #C照？？这车只有6米吗
1702912501# #某某要发布锁，米果然就出事了
1701307248# #有些人就是酸
1702911658# #我爸阳了两次我至今无症状，HEPA过滤新风，口罩都是有用的
1702821034# #转发微博
1694963364# #我发现xhs在某些方面的尺度要比微博大一点
1695466437# #对黑恶势力无力，对老实人可是重拳出击
1696735286# #转发微博
1697881203# #充电的和雷电4不好比二哈hdmi也是
1703499108# #转发微博
1699162634# #笑死
1690529747# #转发微博
1697980414# #红红火火恍恍惚惚
1688201993# #呜呜呜不懂宝石也很喜欢的程度舔屏
1704250389# #性别标签真的很烦。我坐到过满口粗话开车打视屏电话的女司机，也坐过车里干干净净全程一句话不说还戴口罩的男司机。
1694397958# #。。。
1691043844# #卧槽
1701271708# #这就是边上路过的流浪狗都要过来抢着立功了
1701866551# #转发微博
1695949590# #一带一路（物理）
1701395953# #那么大个车想要在车里干点活空间还是好局促允悲
1704353736# #转发微博
1691122048# #转发微博
1689575171# #支持当事人维护合法权益！
1699956022# #遥遥领先
1695604311# #看着还行
1704176222# #哈哈哈哈哈谁掉的doge
1700558731# #转发微博
1698555261# #转发微博
1701749891# #CarT疗法是定制化培养细胞，成本巨高还不一定有效允悲只能说有钱的还能花钱去搏一搏
1704208773# #转发微博
1687839687# #哈哈哈哈哈哈
1704271232# #别人的妈妈
1696074939# #图3看到了典型的小团体孤立。
1687789660# #这肋骨都断了吧允悲
1694145568# #垫片刚放上去哈哈哈哈哈
1701009574# #14个月整完成一个小目标
1703740919# #？
1688012351# #转发微博
1695087255# #日本人不是最喜欢量化么doge怎么还有用人这种不稳定不可控因素的
1689489004# #草
1689416329# #？？？
1703393655# #还好b站密码是唯一的并不简单
1692343514# #美
1702268989# #可爱
1688905059# #草
1689323802# #还有杂货铺和智能家居doge
1688888436# #哈哈哈哈哈哈
1697532981# #转发微博
1704203583# #一个在雨里吃冰激凌一个在雨里啃猪蹄哈哈哈哈哈哈
1689939370# #C但是要求自己可选时间二哈
1687950032# #哈哈哈哈哈
1704180476# #转发微博
1700055725# #12月的两大期待银河OS2.0澎湃OSdoge
1696861489# #可爱！！
1694145948# #又是吉利的产业
1694044373# #让每个人都能体验科技的乐趣
1693635831# #草
1699671250# #转发微博
1699333629# #生快蛋糕竟然才26二哈
1696640118# #整天黑三缸二哈就目前的几个混动/増程的三缸发动机没一个有问题的。又不是以前的三缸夏利
1691715630# #哈哈哈哈哈哈
1694934013# #草
1695481425# #等一个银河的doge
1689398113# #红红火火恍恍惚惚
1690871388# #这钥匙是真不错
1687794786# #草好奇
1695215959# #转发微博
1695174465# #这一领域突破这么快我是没想到的
1703433048# #转发微博
1689488942# #哈哈哈哈哈
1690335819# #爱你
1698929221# #转发微博
1704330462# #😅
1687954568# #转发微博
1690933497# #可爱捏
1688829050# #话痨太可爱了二哈
1689205095# #🌿
1694765254# #笑死了，工业皇冠上又多了个双面胶doge
1700728406# #转发微博
1698504112# #从来没看过直播二哈搞价格垄断的赶紧死
1693919253# #真的离谱。。鸭舌贵我能理解，脖子锁骨卖那么贵凭什么？
