1689236889# #告别喀什
1689045073# #参观和田县无花果王公园，最古老的一棵有500多年的历史。。五千公里之外的物品，自是与众不同，我们少见多怪了。。果树会痛，请勿采摘。
1700190614# #收到中国散文名家走进南岳采风创作活动第四篇，谢冬梅《苍苍衡岳与众殊》，近万字，写得好！
1690553292# #人生一定要来一次德令哈。。今夜，我在德令哈。。看过我这个视频之后，你就会知道德令哈的夜晚，多么美丽，多么妖艳，多么令人神往。
1696756094# #耍到了方广寺、二贤祠。。李白曾来此游，朱熹、张栻亦曾夜宿于此，并有诗记。
1693521861# #难道这不是现实吗？
1697205324# #稻盛和夫：“唯有读书和赚钱，才是一个人最好的修行，前者使人不惑，后者使人不屈。”鲜花音乐
1696241440# #张艺谋导演
1690349261# #2009年7月，王外长在南岳。
1700615020# #读英籍犹太裔大作家、1981年诺贝尔文学奖得主埃利亚斯•卡内蒂《人的疆域》，句句醍醐灌顶，惊醒梦中人。譬如这句：“死人靠世人的评价而活，活人靠爱而活。”又譬如这句：“人们会变成自己最讨厌的样子。所有的厌恶都是一种可怕的征兆。人们在未来的破镜中看到了一个人，但他们不知道，那就是自己。”
1699356030# #中国散文名家今秋走进南岳采风创作活动，导游是第十四届全国人大代表、湖南省劳动模范、南岳区导游服务中心金牌导游曾莲英，真的是导游界的天花板、中国1号。
1700790425# #开会了
1704039674# #跨年了。你们献辞吧，那个吧，我还是喜欢：岁月静好，现世安稳。鲜花音乐
1697951260# #陪段有慧博士观马嘶塘祖居地。。抬眼一望，马嘶塘。蓝色的地名牌。高悬。冷冰冰的。可有一丝民国气息？。。祖父湘泉公的身影。依稀闪现。街头上，满是市井小民。何曾知道，此地。暂住过一位抗日名将。。强忍住伤感的泪水。你随我们，走进仙姬巷深处。老字号渣江合康粉馆。借一碗最衡阳的米粉。品咂祖居地悠远绵长的滋味。
1688995152# #万方乐奏有于阗
1688096054# #知道马上报吗？一个新平台。。世说新语三千则。
1692157383# #陈文质先生录明洪应明《菜根谭》句：“风来疏竹，风过而竹不留声；雁渡寒潭，雁去而潭不留影。故君子事来而心始现，事去而心随空。”。译文：风吹过稀疏的竹林，吹过后，竹林里不会留有风声；鸿雁飞过清冷的深潭，飞过后，潭水中没有留下鸿雁的身影。因此，君子当事情到来时，心中才思虑此事，事情过去
1688103251# #在西宁饭馆吃饭是危险的，喝酒尤其危险，但在高原野生动物园反而是安全的。
1689306390# #今天才知道，“你要写哪里，就不能只写哪里”，已经成为当今最流行的写作句式。这个是AI创作吗？
1691671902# #这个题匾者后来得了一个千古未有之职务
1689129160# #喀什古城开城了，人山人海，万头攒动。
1700299078# #万寿菊，又叫孔雀草。。时令初冬，睡莲开放。
1703060891# #想北国风光千里冰封万里雪飘望长城内外……
1690709722# #著名军旅书法家、中国书法家协会会员陈光池大校书拙诗《西部之西》。。。西部之西。是我们在某个时刻。对于一块遥远异地的猜想。或是一首新边塞诗。在内心拓展的无限可能。。小草也难以生长的荒漠。有驼铃声里的滞重。有苍鹰展翅的勇猛。而阳关三叠。只是风吹狂沙的序幕。。西部之西。在昆仑、祁连、阿尔金山。巨大的三
1700408697# #衡阳师范学院文学院今夜举办“周游四海八荒——甘建华地理诗分享会”，上百位师生及衡阳诗人、诗歌爱好者参与其盛。深谢！鲜花音乐作揖
1696863032# #季羡林的锥心之语：“多少年后，我醒悟过来，终于发现了一个宇宙真理：在公有制体系里，每个单位都是小人的天下，正直的人总是少数且无权势，群众的眼晴都是瞎的、势利的，他们大部分情况下不会站在君子一边。坏人也不会改好的，因为他不认为自已是坏人。”
1696753369# #王夫之《莲峰志》中的双髻峰。。徐霞客当年走过这条路。
1688896890# #来看楼兰美女
1699524164# #那天在南岳福严寺，许多作家得到了大岳法师按照各自要求当场书写一个字墨宝。阿弥陀佛！
1687239786# #收读长沙范诚兄《杨岳斌传》咖啡。杨岳斌，原名杨载福，字厚庵，湖南吉首人，清末湘军重要将领，湘军水师的创办者和统帅者之一，累官至湖北提督、福建陆师和水师提督。后任陕甘总督，为左宗棠的前任。清光绪十年（1884），法军入侵台湾，杨岳斌以62岁高龄，受命率军奋勇出征，横渡台湾海峡，护卫国土
1691851794# #本届茅盾文学奖湖南本土虽然没有一人入围，但《回响》作者广西东西（田代琳）祖籍湖南麻阳。
1695972914# #石鼓书院是中国古代第一所私人书院，也是衡阳历史、湖湘文化乃至中国传统文化的一个重要陆标。由甘建华主编的《石鼓书院的月亮》，汇辑了海内外130位诗人208首诗，既是石鼓书院有史以来第一部新诗集，也是中国所有古今书院第一部新诗集。
1694562337# #衡阳是中国诗歌的重镇，洛夫先生的家乡，现在有多少人写诗，这个我真的不知道。只知道给我们公司拉货的司机蒋松林几年前开始写诗，还带动他的老婆孩子也在写诗——吾乡风雅如此。今天早晨在朋友圈看到这位朋友，从美国留学归来的邹董事长，不但能写古诗，还能用英语自己翻译，简直绝了！
1700581894# #这人是衡阳包昌林的胞弟？表演的都非常到位，几乎让人信以为真。所以，现在即使真有好干部，人们也不怎么相信了。官场如戏场，一流演员太多了。破涕为笑破涕为笑破涕为笑
1688570918# #来青海十天了，第一顿饭吃的是湘菜，今晚临别西宁，吃的更是地道的衡阳菜。老板娘姓刘，常宁市洋泉镇人，长得很漂亮，说是来西宁将近20年了，送给某人一瓶歪嘴郎酒。我们离开时，她的公公依依不舍，目送我们走出去很远才放心。微笑
1704007563# #在衡阳市美术馆观看全国青年书法篆刻家邀请展（2楼）
1691822299# #著名作家唐浩明说湖南人最大的特色有两个：“一是湖湘民风，民风上的最鲜明特点是倔犟霸蛮；二是湖湘学风，学风上的最鲜明特点是笃诚务实。这两方面结合，化育出有强烈地域特色的湖湘文化。”
1700740853# #闽西北名城邵武，夜景下流光溢彩。
1694943223# #冯友兰在《中国哲学史》中专门探讨了王夫之著作的幸与不幸。在冯友兰看来，王夫之在衡阳石船山潜心著述，其著作当时和后世很少有人知晓，这是不幸。但从某种意义上讲，它也没有受到清朝当局的注意特别是文字狱的迫害，这又是不幸中的万幸。
1700708823# #今天《衡阳晚报》副刊发表湖南日报全媒体记者姚帅写衡阳东洲岛船山书院彭玉麟所撰门联来龙去脉及高深气象。写得好啊！
1692622916# #昨天上午在石鼓书院，与武汉友人蒋荣良还在说“石鼓书院”是沈鹏先生题匾，今天他老人家就走了。他生于1931年7月1日，卒于今天8月21日，报道说享年92岁，其实是93岁。
1687734537# #2023年青海湖诗歌节今日启幕鲜花音乐音乐音乐
1694858274# #有五句话让湖南人引以为荣。。一是范仲淹《岳阳楼记》的“先天下之忧而忧，后天下之乐而乐”。。二是岳麓书院门联“惟楚有材，于斯为盛”。。三是王船山说：“六经责我开生面，七尺从天乞活埋。”。四是王闿运说：“吾道南来，原系濂溪一脉；大江东去，无非湘水余波。”。五是杨度说：“若道中华国果亡，除
1694600887# #今天下午，接受湖南日报—新湖南客户端记者采访，谈晚清兵部尚书彭玉麟撰写衡阳东洲岛船山书院对联，掉了一回书袋。。一瓢草堂遥，愿诸君景仰先型，对门外岳峻湘清，想见高深气象；。三篙桃浪渡，就此地宏开讲舍，看眼前鸢飞鱼跃，无非活泼天机。
1689591386# #没想到平生吃到最好的馄饨，却是在青海西部边城茫崖市花土沟镇。。小店老板是牡丹之乡山东菏泽人，中等个头，长相英武，不胖不瘦，腰板笔直，说话不卑不亢，做事不慌不忙。如果不说身份，很可能以为他是个警察，甚至颇像一个公安局长。
1689224523# #喀什博物馆的馆藏文物似乎不如若羌楼兰博物馆。。喀什博物馆五个字错了两个字，还有一个说不清楚。
1687486051# #说的也许对着呢！呲牙
1693484815# #2011年11月1日晚，谢冕教授在深圳读书月活动上说：“如果要发财，可以去写影视剧本。写诗是绝对不可能发财的。所以说，诗歌是很贵重的。”哈哈哈哈！
1690295814# #喜大普奔。我的家乡茅洞桥终于出了一个解放军少将。鲜花音乐作揖
1691720382# #据清代《随园诗话》，乾隆大才子袁枚，钱唐人，“戏刻一私印，用唐人（韩翃的）‘钱塘苏小是乡亲’之句&nbsp;”，平时写字录诗，皆随意用此闲印。一日被路过金陵的某尚书要员看见，认为&nbsp;“不伦（不类）&nbsp;”，&nbsp;“责之不休&nbsp;”，袁枚正色回答：&nbsp;“在今日观，自然公官一品，苏小贱矣！诚恐百年以后，人但知有苏小
1696505299# #挪威作家约恩·福瑟获2023年诺贝尔文学奖
1697870109# #陪同革命烈士、抗日名将、国民革命军中将段沄孙女段有慧博士来游石鼓书院。。段有慧是美国佐治亚大学毕业的食品科学博士，现在是江苏理工学院文旅学院教授。。她家祖上清末湘军出过四个名将，其中两个一品大臣。民国时期出过两个中将，四个少将。国家安全部建的最大的隐蔽战线烈士陵园，就是斥资8000万
1700485176# #今天上午，到衡阳市美术馆观看湖南省第五届花鸟画展开幕式，见到一些愿意见到和不愿见到的人。所以，这也是我平时不喜欢参加开幕式的主要原因。阿弥陀佛！
1702539901# #今年6月参加张家界第六届国际诗歌节，返程时我们同坐一辆车到高铁站，他认出了我，我却没有想到他是中国十大农民诗人之一。今天看到他晒的这个成绩单，这个河北老哥可说是中国十大农民诗人第一人。
1692064940# #昨晚收到了网上订购谭五昌教授主编的《2022年中国新诗排行榜》。责编全秋生说：做书，我是认真的；做诗集，更是如此。
1703588341# #骆一禾曾经这样解释过海子的死：有过天才生活的人，大都死于脑子：卢梭过了十二年天才生活，死于大脑浮肿；荷尔德林的天才生活大约是六年，写了很多颂诗性的作品，最后近于白痴。他们都有一个骤然凸起的黄金时期，前后都平常，最后都出在脑病上。对于海子来说，便是1983年到1989年的短短六年时间里，留
1704162882# #转发微博
1703657801# #国家发改委和北师大联合发布的绝对官方调查数据。是不是泄密了？不忍细究。泪目。可能许多贪官污吏也会看这个帖子，不知他们的心里怎么想？
1698314699# #社会现实一种
1699755573# #中国散文名家走进南岳采风创作活动第三篇散文出来了，乃南华大学著名教授罗玉成先生《南岳山的宽容》。
1690591823# #德令哈第六届海子诗歌节即将开幕
1702874003# #今日重大新闻。死有余辜
1693540559# #惊闻青海著名历史学家、青海省社科院原副院长、《青海通史》主编崔永红先生因患白肺病，2023年8月24日在陕西汉中逝世，享寿74岁。。。崔永红，1949年10月17日生于甘肃古浪，1970年至1978年在古浪县老城学校执教。1982年毕业于武汉大学历史系，获历史学学士学位。1988年在青海师范大学获历史学硕士学位。。
1694075611# #1931年，美国心理学家温思罗普·凯洛格做了一次大胆的尝试，他让一只黑猩猩宝宝与他的人类女儿一同成长，希望能够让黑猩猩学会人类的语言，成为真正的“人类”。这两个不同物种的“朋友”相依为命。然而，令凯洛格大失所望的是，黑猩猩并没有变得更像人类。相反地，他的女儿开始模仿黑猩猩发出奇怪的声
1688867688# #再见了，茫崖花土沟！。在我父母当年居住的楼房前留影。。今后，我是难得再来这儿了。
1698327828# #1983年，日本みすず书房和日本近代史研究会出版了侵华日军最高司令官畑俊六的日记，起自1929年10月7日，截至1945年3月28日，涵盖了他在华7年的所有日记，作为抗战史的一份史料，本书具有珍贵价值。。其中1944年8月2日：“上午，前往汉口陆军第一病院视察，慰问了这次在衡阳攻击的受伤者和68师团长佐久间
1703478911# #帮着吆喝一声
1694742727# #今天，9月15日，农历八月初一。南岳圣帝诞辰。来自各地数十万海内外游客。纷纷集聚南岳衡山。朝拜祝融火神共庆圣帝诞辰
1701825763# #位置不同，少言为贵；认知不同，不争不辩；三观不合，浪费口舌。正所谓：法不轻传，道不贱卖，师不顺路，医不叩门。
1700614730# #段祺瑞的书法。。或许是其师爷的。
1691840178# #甘肃苏孝林。一个省文联副主席玩出了党委政府部门领导干部的水平，啥罪状都有，佩服佩服，让人不得不服啊！
1700910560# #参观苏维埃革命老区福建邵武金坑村
1700186930# #莫言：如果你千方百计地想扮演救世主的角色，居高临下地看着芸芸众生，然后指点江山，激扬文字，批评政府，这未必是在替老百姓说话，实际上你是在作为一个高等人说话。
1694420299# #原央视著名节目主持人王志履新，出任中央民族大学党委常委、副校长。。王志，湖南衡南县栗江镇檀市村人，1965年5月生于衡山县沙头乡，1977年小学毕业于衡山县萱洲大队小学，1979年初中毕业于衡山三中，1982年高中毕业于衡东一中。。1989年湖南师范大学中文系文艺美学专业研究生毕业，分配至湖南电视台做
1700791953# #福建邵武是南宋名相李纲、《沧浪诗话》作者严羽的故里，二公皆曾游吾乡衡阳，各有诗词传世。千余年后，衡阳后学前来拜瞻先贤故里。
1688365001# #观察青藏高原生态即时动态
1687068092# #江湖画人某，衡阳县集兵滩人，名不出乡里，却在报纸上自吹自擂：“我的书画每幅要卖一千万，一般人我还不卖给他。”。我曾经见过他两回，他也不知道我是谁，拽着我的胳膊说：“看你面善，我给你200元一幅，如何？”。我逗他说：“问题是我身上只有20块钱，这可怎么办？”。他想了想，一咬牙，一跺脚，说：
1703653478# #北魏太和十七年（493年），由于南岳衡山非北魏所辖，孝文帝为朝五岳，特尊河南洛阳鹤鸣镇鸣皋山为南岳衡山，于其上建南岳离宫，占地12亩，即后来的南岳庙。清康熙三十二年（1693年）碑载：“嵩治鹤鸣镇北有南岳离宫，坐镇衡桃，历唐、五代、宋、金、元、明，岿然山巅，莫知所创。”2008年9月，该庙被公
1703214898# #南岳山上云海雾凇，衡阳城里阳光灿烂。冬至有记。
1690164781# #前段时间，俄罗斯外长拉夫罗夫在一次欧洲安全对话会议上说：俄罗斯从来没有侵略过任何一个国家，从古至今俄国都是被别人逼的。当有记者问道：俄罗斯远东地区都是近几百年才得到的，请问这些土地都是怎么来的？拉夫罗夫说道：这些土地都是通过友好协商送给我们的。这番话引起了现场记者们的哄堂大笑。
1691919232# #柴达木油田老英雄葛泰生先生今年92岁了。。今天（2023-8-13），给现居辽宁盘锦的葛泰生先生打电话，确认其是否健在，以便在即将编竣的散文选本《西望花土沟》他的文末简介中注明。。葛老是中国石油地质学界老专家，柴达木油田老英雄。1954年深秋，乌孜别克族向导阿吉老人带领石油勘探队员骑着骆驼找石油的
1704162816# #国足的2024年，又从一场失利开始。在1日晚进行的国际足联A级友谊赛中，中国男足于先进一球的情况下，最终被中国香港队2:1逆转。散学！散学！！散学！！！弱弱弱
1703551499# #我分享了的头条文章
1688726140# #茫崖千佛崖，丹霞泥岩地貌的奇观。
1701673460# #读蔡德初《郦道元和徐霞客游历耒阳》一文，却连郦道元、徐霞客的生年都没有搞清楚。郦道元（约470—527），他错成（427—527），活了100岁；徐霞客所有资料都说生于1587年1月5日，他写成1586年。至今没有任何资料说郦道元到过耒阳，他居然仅凭《水经注》“耒阳境内耒水的两条支流均记载得如此准确，如
1688475308# #昌耀诗中的西门口现在是这个样子
1695993147# #平生第一次在东洲岛上赏月
1693523719# #诗人海子1988年8月西藏留影。。当年7月底在青海德令哈大体上就是这个形象。。7月25日，他是怎么写出《姐姐，今夜我在德令哈》的呢？
1690001110# #此刻，在南疆若羌县城，我们的维族好友艾合买提的公子与美妇正举行婚庆大典。遙祝他们新婚愉快，百年好合！
1692665708# #歌坛大斗法。中国好声音幕后老板默多克资本逼退刀郎巡回演唱，上海音乐节第一嘉宾还是那英，央视中秋晚会力捧刀郎。经济低迷，戏子高飞，怎一个贱字了得！弱弱弱
1700969798# #宋代名相李纲，福建邵武人，因主战谪任衡州太守，留有《江城子·去年九日在衡阳》：去年九日在衡阳。满林霜。俯潇湘。回雁峰头，依约雁南翔。遥想茱萸方遍插，唯少我，一枝香。今年佳节幸相将。陟层冈。举华觞。地暖风和，犹未菊开黄。此会明年知健否，判酩酊，醉秋光。
1697242787# #2020年诺贝尔文学奖得主、美国著名女诗人露易丝·格丽克昨日病殁，享年81岁（1943.4.22—2023.10.13）。
1694759949# #民国小学课本描述如图，陕西就如风中舞动的美女。
1697087856# #著名军旅诗人刘起伦（衡阳市祁东县人）谈新诗集出版的一点感想鲜花音乐作揖。。今天，收到百花文艺出版社寄来的我的诗集《月光正照着沉默的诗人》样书。书的装帧和印刷质量很精美，这要感谢诗人李立兄和责编秦秦老师的辛勤付出！而我，手捧这本散发新纸张清香的诗集，欣喜之余，心中竟泛
1699134932# #与新疆周涛先生的直接交往是最近十年，受其诗歌、散文的影响已近四十年。2013年策展“诗文风流.翰墨飘香——中国作家书画作品展”，周涛先生给我寄来两副墨宝。2014年清明节前，给他寄去一斤南岳云雾茶，他回信告诉我，这是他至今喝过最好的茶，原来新茶是这个样子的。今年7月中旬，我到了乌鲁木齐，本
1697010175# #昨天才知道陈忠实长篇小说《白鹿原》还有一个三卷本宣纸版，作家出版社定价1289元，当当网400元也可买到。孔夫子旧书网几千元一套居多，有作者生前签名的最高价格23333元。。刚才又发现贾平凹长篇小说《废都》，一函三册全宣纸本，作家出版社一版一印，定价764元。因为作者健在，所以孔网最低价468元，
1701330765# #组诗五首：《古郡敦煌的深秋》《岁暮在梅溪湖》《湘西永顺的鸟》《花土沟长街上》《老布街河湾》，载于昨天《青岛财经日报》红礁石副刊头条。存谢！鲜花音乐作揖
1696565419# #诺贝尔文学奖得主萧伯纳说过：“诺贝尔发明文学奖，比他发明炸药危害更大。”
1689992374# #近日在家放松，闲读吉狄马加、宋江涛分别主编，由青海人民出版社出版的两本全精装本诗集：《诗的圣地青海》《诗的高原——歌咏青海的最美现代诗（汉英对照）》，真是编印译摄之典范，具有极大的文学价值和文献价值。学习并致敬！
1699863076# #据说新疆周涛去世那天，午饭后在小区散步，忽感身体不适，回屋卧床休息。未及半个时辰，其妻听到他在室内大吼一声：“马文，我他妈的要死了！”遂撒手人寰，享寿77个春秋。立志要做“新疆第一人”的诗文大家周涛，据说殁后有几位中央政治局委员、许多位将军以诗文吊唁。
1699499023# #天才少年查海生（海子），1979年15岁参加安徽省安庆地区高考，准考证号410746，同年考入北京大学法律系。
1696344252# #今天与众友人巨鹿峰寻花问草。。有些花草的名字，我们以前根本不知道，必须向大自然学习。
1692935506# #浙江卫视：《中国好声音》节目暂停播出
1703749598# #听台湾女歌手蔡秋凤金曲，其人以《金包银》《酒落喉》走红台语歌坛，独特的“鼻腔共鸣”声音引起秀场和模仿迷们争相仿效。
1702011216# #《新华每日电讯》草地周刊今天发表拙作《在船山书院掉一回书袋》。之前发表湖南日报全媒体记者姚帅《看船山书院鸢飞鱼跃》。“楹联里的湖南”衡阳船山书院这副对联，可能是宣传档次最高最多的了。二文均将收入中国文化地理散文选本《船山书院里的王先生》。
1696645759# #网传毛泽东对王夫之的“经典评价”：“西方有一个黑格尔，东方有一个王船山。”经当今船山学泰斗王兴国先生考证确认，毛泽东并没有说过这句话，而是衡阳电视台2010年摄制《南岳奇人王船山》宣传资料捏造的，许多船山学者也跟着这样胡说。。又据考证，这句话实际上是民国时期哲学教授嵇文甫、贺麟说的。
1695352790# #北京也有一个船山书院，坐落在海淀区西直门外白石桥北京石刻艺术博物馆东侧，与博物馆建筑自成一体，就是一个经过改造的大四合院，对外承接承办会议和文化活动。偶尔也会读书，但把专注力放在以轻食为主的产品研发上面。
1703411167# #德令哈海子诗歌碑林原有一块《梦回德令哈》，乃文国栋时任海西州委书记（2015.07—2020.09）之作。其实这是一首歌词，傲日格乐作曲，柴达木民族乐团在2017年德令哈春节联欢晚会演唱过，未料歌名一语成谶。2020年9月6日，文国栋出事被抓，后被判处有期徒刑11年，这块诗碑也被移出碑林。
1695458394# #中国科学院院士、上海交大原副校长兼医学院院长陈国强教授，今秋受聘担任海南医学院院长。在2023级新生开学典礼上，他三次提及其“我的不知名本科母校”——衡阳医学院。呵呵呵！
1703164767# #收到古月社长寄来台湾《创世纪》诗杂志2023年12月冬季号（总第217期），本期有衡阳诗人9人诗展：陈群洲、甘建华、张沐兴、萧萧、刘阳、陈益群、天晴了、莫汲、朱弦。
1694341596# #这个绝色美女将事情闹到了热搜第一名，风头盖过了华为Mate60Pro。
1692783739# #新疆举办衡阳籍诗人桑山诗歌朗诵会。。据《衡阳日报》、衡阳全搜索网、中诗网报道：8月20日，值衡阳籍诗人桑山诗歌散文新著《天山放歌》发布之际，由新疆书香天山科技有限公司与新疆文化艺术研究会美韵天山朗诵艺术团联合主办、多家机构联合协办的“一路向西——桑山诗歌作品朗诵会”，在乌鲁木齐市
1688265120# #参观青藏高原自然资源博物馆。解说员说，裸鲤，就是不穿衣服的鲤鱼。一哂。
1700752202# #第一次夜访寺庙。。福建邵武福山寺，夜间灯火辉煌。
1702388492# #1984年2月7日，王小波就出家事宜，致信中国佛协会长赵朴初，因＂实属荒唐”被拒。王妻李银河是我们湖南衡山人，早几年我们在广州天河购书中心见过一面。
1688474245# #西宁市老城区中心大十字，。已经没有以前的繁华，。现在变得落寞了。
1694155279# #今天收到新华社著名记者邓全施老先生寄赠《我认识的宋平》。严格说来，这是一部正史之外的文史笔记。。书前有一张照片：1980年1月，宋平考察甘肃省酒泉地区肃北蒙古族自治县，与蒙古族牧民在帐篷前合影。肃北蒙古与青海海西州蒙古都属于德都蒙古，所以这张照片可说是德都蒙古历史上最珍贵的照片。。宋平
1697372577# #云海万千，最美南岳。玫瑰。第一次晚上看影展，醉醺醺中，大开眼界。。南岳美术馆。
1698541570# #这一对难兄难弟，最近热搜霸屏，各有无限的苦衷难与人言。
1694076853# #▲《治安管理处罚法》修订草案新增第三十四条，其中第二、三款将“有损中华民族精神，伤害中华民族感情”的言行列入处罚范围，在互联网上引起争议。
1695116342# #这个四川人生于1924年，卒于2008年，一个非常著名的哲学家和哲学史家，武汉大学珞珈中国哲学学派创始人，当代最有名的船山学学者。。我最早知道他的名字，还是第一次购买有关船山先生王夫之的书，是他1984年5月在湖北人民出版社出版的《王夫之辩证法思想引论》，著者署名肖箑父。那时我还是地理系一个穷
1703918051# #拙诗《西部之西》收入香港著名诗人秀实、招小波主编的《甲辰2024新诗黃历》。
1700030087# #转发微博
1687829628# #古代西宁第一人杨应琚
1700790720# #转发微博
1688980457# #南疆铁路经常无信号，终日无餐饮。。沿途景观比柴达木盆地好。原野上没有看到人与动物。我的祖国如此安宁
1690892926# #德令哈进入秋雨模式
1696750508# #随王曙初寻访船山先生王夫之当年隐居南岳后山续梦庵遗址
1688696536# #在世界行走，在茫崖停留。。茫崖翡翠湖
1690680940# #在德令哈，遇到诗人海子（查海生）的胞弟查曙明。此人有才情，善谈吐，亦能诗。
1695820816# #读湖南图书馆研究馆员寻霖《船山湘籍师友著述及版本述录》，得知王夫之挚友周士仪乃南明永历时进士。如此，衡阳历史上有了301个进士。。承船山学泰斗王兴国先生告知，南明永历八年（1654年），孙可望在贵阳设科取士，并取中陈世基等54人。由于南明取士清朝不予承认，因此除了少数明朝遗民著述中有只言片
1697457734# #衡阳人刘起伦说：写出来的诗作百分之八十都在各类报刊发表了。粗略统计了一下，发表的诗在千首左右。其中，单在《诗刊》《人民文学》《解放军文艺》《中国作家》《青年文学》《人民日报》《解放军报》《星星》《创世纪》（台湾）这几家大刊名刊发表的诗作，加起来也有300首之多！有幸参加过诗刊社组织
1696638021# #今天是吾乡衡阳先贤王夫之先生诞辰404周年纪念日。王夫之（1619.10.7—1692.2.18）。
1696856800# #湖南省文联《财富地理》2023年秋季刊以7个页码发表拙诗《茅洞桥记（22首）》鲜花音乐作揖
1687519041# #分享图片
1693024142# #人生的四次淘汰：。1、60岁开始，职场就把你淘汰了。不管你在职时事业如何成功、权势如何熏天，都要回归到普通人。所以，别再固定在过去在职时的思维模式和权势优越感，放下架子，以免找不自在了。。2、70岁开始，社会慢慢淘汰你了。和你聚会约会的朋友、同事越来越少，去原单位几乎谁都不认识了，千万别
1693316163# #今天看到一句最搞笑的话：我们局长啥时候才能混到双开啊？
1687732991# #在长沙黄花国际机场，没有想到《尊品》DM高档时尚杂志还在办，而我们的《尔雅》早已离场。坚持一件事情是多么不容易啊！
1695996559# #此刻，我们正在东洲岛上平沙落雁胜景，赏月，吃月饼，朗诵诗歌。
1699523230# #才过几天，南岳福严寺的银杏就黄了。
1688172753# #昨天下午，我与校友凌须斌、孟曙亮三人，来到南川东路西宁市烈士陵园，在南二台南面第一排第六个墓位，拜谒1985年9月15日牺牲于老山前线的青海师大体育系1980级学长、西安陆军学校见习排长、全军一等功臣聂建青烈士。1985年12月30日《解放军报》头版头条转第四版大篇幅报道了他的英雄事迹。。去年清明节
1694484042# #唐精蓉生于衡阳市
1701221635# #今天《西安晚报》终南副刊头条发表我写家乡茅洞桥的散文《苍苍横翠微》。存谢！鲜花音乐作揖
1690968009# #三月三日天气新，长安水边多丽人。。在小雁塔公园和西安博物院消磨一个下午，哈欠连天中，见到了许多佛像和胡俑像。
1702523969# #再来衡阳美术馆看湖南省第五届花鸟画大展
1696662474# #组稿《石鼓书院的月亮》海内外诗人23人23首：黄亚洲（杭州）、车延高（武汉）、梁尔源（长沙）、林目清（邵阳）、刘年（张家界）、刘大伟（西宁）、刘福申（绥化）、刘起伦（长沙）、刘笑伟（北京）、刘正伟（台湾）、马文秀（北京）、梦天岚（长沙）、娜斯佳（俄罗斯）、舒然（新加坡）、涂国文（杭州
1693968999# #湘籍著名诗人朱奇《巴音河谣》是写德令哈、巴音河的第一首诗。。以描写柴达木知名的两个散文大家，李若冰先生没有到过德令哈，现居青岛的朱奇先生没有写过德令哈散文，但写过一首《巴音河谣》，载于《上海文学》1961年3月号。根据我的考证，这是描摹德令哈、巴音河的第一首现代新诗，收入了我主编出版的
1702032805# #我在衡阳日报社工作时，单位有一个同事名叫王文兵，没有文化，人也邋遢，负责登记通讯员来稿，做得领导也不是很满意。当时我根本没有想到，他的母亲是解放后衡阳市第一任市长、市委书记毛远耀的外甥女，而毛远耀是毛泽东最喜欢的堂侄，后来调任武汉测绘科技大学党委第一书记，活了101岁，是毛泽东家族
1703595507# #房地产市场的蝴蝶效应。时代的一粒灰。南无阿弥陀佛！。《中国建材报》休刊！工作人员：正逐一打电话“退费”。
1687486669# #这个是中国历史事实
1700796567# #两岸诗人交流会。福建邵武和平古镇
1688471325# #我在这座城市看到了什么？听到了什么？我现在暂时不想说。
1689058992# #从来没有见过这么多的玉石，从来没有见过这么多的维吾尔族人。
1688903562# #来赌玉。和田玉。
1687395662# #端午安康！日本《中文导报》文学园地副刊发表《湘地寺庙志（之三）》两首。感谢张石主编！咖啡
1694784416# #2023年国际友谊赛成都赛区。中国男足发挥特别稳定全是零进球。捂脸捂脸捂脸
1688717119# #在茫崖市文化图书馆，听凌须斌兄《西部之西的文学写作》讲座。鲜花音乐
1696398560# #现在只要看到谁在台上振臂高呼乱话喧天，我就为他和他的家族及那座城市提心吊胆。合十合十合十
1694650083# #民政部又公布一批山寨书画协会名单
1688011500# #2023青海湖国际诗歌节金藏羚羊奖颁给澳大利亚诗人马克.特雷尼克（MarkTredinnick）。鲜花音乐
1700300107# #原来的国防教育广场，现在改叫双拥主题广场。
1695212380# #2020年公祭王船山先生第二次筹备会暨纪念郭嵩焘开创公祭王船山新传统150周年座谈会在长沙湘商会馆举行。加拿大旅华武术家、中国太极拳传承人、湖南中医药大学研究生马丁（Martin）表示：“王船山是中国伟大的思想家，我将用英文向全球传播王船山哲学。”
1702512997# #昨天的《衡阳晚报》，刚才发现的。存谢！鲜花作揖。《徐霞客与衡阳和南岳衡山》
1692534294# #昨天湖南同乡会拍的台湾全裕富将军，原蒋经国“总统府”执行长（相当于秘书长或办公室主任），官拜少将，今年97岁，衡南县茅洞桥三碗盐人。本应住在将军府，却被不孝之子将家财败尽，银行与黑道逼债，以至于流落街头。幸好台湾社会福利好，湖南同乡会帮衬，这才有了临时住所。近期，衡阳全氏宗亲理事会
1697197984# #同志们，看看美国佬是个什么东西吧！华为居然侵犯了美国的未来知识产权？
1696472557# #胜利油田退休职工张洪贵，生于1931年，今年92岁，曾参与青海柴达木盆地冷湖地中四井钻探，共和国第四大油田由此开端。祝愿老英雄健康长寿！
1701675679# #担心有人不相信。。焦点访谈，让事实说话。
1687179008# #呼朋唤友来衡阳大剧院观看祁剧《白蛇后传》。这一段母子相认唱腔太棒了，让老夫居然泪目。
1697471483# #莫言又说什么了？
