1688286338# #起司红薯吐司面包片，简单好吃。。。慈实素食超话每日一餐分享
1694335285# #无意中的收获，感觉漂亮，就用手机拍了。
1700577982# #冬吃萝卜夏吃姜。。萝卜煲仔饭，拌自制香椿香菇酱。。传统做法，还有锅巴，鲜香浓郁。。。慈实素食超话每日一餐分享煲仔饭美食分享素食养生素食主义素食我的美食日记家常菜不可辜负的美食
1689556272# #十方诸佛，净土无量，经论多指归极乐者。。一者阿弥陀佛与此土人最有缘故。。。二者法藏比丘愿力胜故。。。三者令人系念得专心故。。。四者阿弥陀佛即法界藏身，极乐世界即莲华藏海。。。故见一佛即为见无量诸佛，生一土，即为生无量土，念一佛即是念一切佛，即为一切佛所护念，以法身不二故，生佛不二故，能念所
1698964169# #发现故宫秋天不一样的美，柿柿如意。。故宫超话爱上紫禁城故宫上新了故宫故宫博物院
1702476870# #北京初雪鼓楼东大街雪景。。换个角度，不拍故宫不拍颐和园。北京超话北京的雪鼓楼东大街人间烟火气市井生活
1687473020# #故宫博物院超话
1687174076# #摄影是光影哲学。。。黑就让他黑，亮就让他亮。。。摄影超话光影摄影摄影人摄影不凡记实摄影摄影人像摄影
1692792517# #时隔5个月，进宫了。。故宫超话爱上紫禁城故宫
1693455586# #宋本阿弥陀佛像，传世800年。
1693662236# #一场秋雨一场寒。
1691914273# #净土宗祖庭庐山东林寺与大安法师。
1687588497# #转发微博
1704039246# #元旦。。心圆梦圆，团团圆圆；。财源福源，左右逢源；。情缘友缘，相逢有缘；。心愿祝愿，愿愿随心，。。祝大家元旦圆源缘愿
1689803903# #故宫博物院超话
1701663555# #万物有成理而不说，。。四时有明法而不仪，。。故宫有大美而不言。。。故宫超话上新了故宫爱上紫禁城故宫
1695165351# #上海的道路种满法国梧桐，秋天都不约而同浓浓的秋色，诉说着深秋已到！。。温暖的阳光穿过梧桐树，洒在老洋房上，斑驳的树影照到枯黄的落叶，这份上海独有的浪漫。。上海超话梧桐树与秋色共美秋色上海老洋房
1691142887# #我收藏的故宫邮票故宫超话爱上紫禁城故宫集邮
1699533364# #适合冬天的：野生荠菜蘑菇炒年糕。。荠菜是野生的，吃在嘴里比较香微鲜甜。。。炒年糕，年糕一定要焯水，炒时油略微多些，比较好吃。。。先煸炒蘑菇片，再放年糕片煸炒，可以加半小碗水，煮一会儿，最后放入荠菜段，这样炒出来荠菜比较鲜绿。。慈实素食超话每日一餐分享家常菜美食分享我的美食日记
1689233050# #佛有“四不能”。。一、智慧不可赐。二、“神通不敌业力”，因果无法改。三、真法不可说。四、万事因缘和合，无缘不可度
1697844445# #故宫角楼。故宫超话故宫角楼月亮
1704005965# #别忘了，明天早上起来，做一碗“汤圆加蛋”，叫做“元旦”。。慈实素食超话每日一餐分享
1702249908# #下雪天早晨，来一“红枣红薯汤”暖暖胃及身体。
1702300257# #明年4月19日至21日，F1中国大奖赛上海站时隔5年重新回归。。。周冠宇这位中国车手将第一次在本土作战，这个历史性时刻的到来无疑将让整个中国赛车圈和所有中国车迷为之振奋。。。2004年是中国大奖赛元年，6岁的周冠宇第一次跟随家人来到上海国际赛车场，第一次在线下目睹F1赛事。。。正好20年回归上海站，周
1703493124# #粽香糯米藕排。。慈实素食超话圣诞节圣诞快乐每日一餐分享美食分享美食时刻素食养生素食我的美食日记不可辜负的美食
1690724529# #夏天故宫的光影故宫超话爱上紫禁城故宫光影
1695724577# #香水莲花🪷
1694089180# #明天白露，露从今夜白。。。白露秋分夜，一夜冷一夜。。。白露身不露，寒露脚不露。
1691765140# #快乐和烦恼就像天上的一朵云，一切都在无常里，它今天在，明天就不在了。
1688774505# #悟者，了了分明，如开门见山，拨云见月。又如明眼之人，亲见归路。亦如久贫之士，忽开宝藏。。。证者，如就路还家，息步安坐。亦如持此宝藏，随意受用。悟则大心凡夫，能与佛同。证则初地不知二地举足下足之处。。。识此悟证之义，自然不起上慢，不生退屈。而求生净土之心，万牛亦难挽回矣。。。——印光法师
1693817360# #生命活到极致，一定是简与静；美到极致，一定是素与雅。。。稍纵即逝的是天上烟花，细水长流的是人间烟火，人生最重要的不是快乐，而是平静。。。——杨绛
1695598387# #故宫博物院超话
1690776801# #故宫博物院超话
1693118973# #浙江衢州深山“廿八都古镇”，戴笠故居。
1699542863# #苏州，我熟悉的苏州。。。山塘街和平江路，还有我喜欢的“荷叶包美人”，北京叫“煎饼果子”，但是苏州更好听。。摄影超话苏州苏州平江路苏州山塘街
1702958467# #故宫博物院超话
1696147093# #十月去故宫看光。故宫超话故宫爱上紫禁城
1703324644# #海苔脆片酿彩椒卷配烧椒汁。。慈实素食超话每日一餐分享素食养生素食美食分享不可辜负的美食我的美食日记美食时刻
1689594538# #对物质没有欲望，虽然是厨师担是对吃不敢兴趣，我喜欢精神层面的东西，一佛法、二艺术。
1699154871# #深秋早晨的颐和园
1687834979# #故宫博物院超话
1703591454# #2023年回顾，2023年一月年前的上海。。摄影超话上海光影光影上海街拍
1694062162# #如是我闻——缅甸佛光之旅。。摄影超话佛法看世间佛教
1703330585# #冬天光影故宫，北京纬度较高影子长。。故宫超话爱上紫禁城故宫上新了故宫光影故宫
1687931411# #夏天没胃口，来一碟：剁椒蒸冬瓜。。慈实素食超话每日一餐分享美食分享家常菜
1695627767# #快要中秋了，想念上海的“苔条月饼”，好多年没吃了。
1697266027# #康熙御笔金刚经。。康熙帝一生共抄过两次《金刚经》，一次是他15岁抄写，一次是在康熙32年，当时其祖母孝庄太后身染重病，为了给太后祈福，他又精心抄写一遍《金刚经》。。故宫超话康熙帝金刚经爱上紫禁城故宫
1693009300# #认知的边界，决定了人生的边界。。。认知的高度，决定了人生的高度。。。放下固有的观念，才能提升自己内在的境界。。。励志语人生励志人生感悟人生感悟
1703750977# #不要征服别人，而是反观自己的内心，看到贪婪、嗔恨、愚痴甚至龌龊的自己，然后在一言一行中，克服我执，不断趋向智慧觉悟，去持戒、布施、精进，去做自利利他的事情，。。寺院的大殿为何叫“大雄宝殿”呢？因为真正的英雄，是能改变自己的人。。。佛法看世间超话觉悟智慧人生弘扬佛法觉悟智慧人生
1699225514# #童自荣老师声音很美。。。勇于舍弃却是一种境界。。。《洗心如镜,和谐天下》童自荣先生朗诵|📷Tsai乐的优酷视频
1696492618# #中午豆汁，晚上麻豆腐，彻底变成北京人。。慈实素食超话每日一餐分享
1688052318# #奥森向日葵🌻摄影超话向日葵奥森奥森向日葵人像人像摄影
1687695965# #故宫里的京白梨故宫超话爱上紫禁城故宫
1697170105# #加点桂花，更香。
1693117779# #豆腐塞油面筋。慈实素食超话每日一餐分享
1694847510# #熊猫🐼冰淇淋🍦，可爱
1694408482# #人生百态，见怪不怪。。过去酒是用来喝的，。。如今是咖啡的伴侣，。。活在当下，人云亦云，。。见怪不怪了，。。酱香煎饼走一个！
1691753949# #每次暴雨都光顾房山和门头沟。
1702826093# #今晚双红会，可能是滕哈格最后一场执教。。曼联超话
1699086445# #一期一会，香山勤政殿前的红叶🍁。。北京超话北京香山红叶观赏期一期一会红叶北京的秋色深秋到来了爱在深秋香山
1698478142# #秋天还是故宫黄的“金”彩。。故宫超话故宫爱上紫禁城金秋十月北京的秋色
1687164086# #降温降雨，夏雨清凉。。。故宫超话爱上紫禁城故宫
1698303655# #康熙御笔“戒急用忍”。故宫博物院超话故宫爱上紫禁城
1699924475# #昨天下午，三里屯东五街银杏大道。
1696389225# #金桂酒酿拿铁
1702044906# #大雪节气喝红薯粥，红薯还有防燥的功效，红薯粥香甜可口，有健脾养胃，滋补元气的作用，特别适合寒冷干燥的冬天，喝红薯粥还有润燥的功效，能促进肠胃蠕动。。。&nbsp;《本草纲目》有：“红薯，补虚乏，益气力，健脾胃，强肾阴”的说法。。。大雪节气喝红薯粥是一个既能保暖又能滋养身体的传统习俗。。。
1692518527# #璀璨银河下的南迦巴瓦，即将七月初七鹊桥相会的日子。
1700381193# #北京秋色天花板：颐和园。北京超话秋色北京颐和园天花板
1702694349# #今天最低温度零下16°C，来北京之后第一次这么冷。
1699510365# #慈实素食超话
1687612200# #认知的高度，决定了你的人生高度。
1700033514# #去年的情景，正好一周年。
1687930110# #茶馆摄影超话观音阁彭镇老茶馆
1688569184# #中国最美沙漠🐫：巴丹吉林沙漠🐪摄影超话沙漠巴丹吉林沙漠沙漠旅拍
1691101426# #美，不存在于物体之中，而存在于物与物产生的阴翳的波纹和明暗之中。。。夜明珠置于暗处方能放出光彩，宝石曝露于阳光之下则失去魅力，离开阴翳的作用，也就没有美。。。——谷崎润一郎《阴翳礼赞》。故宫超话爱上紫禁城故宫红墙阴翳礼赞谷崎润一郎
1701677777# #追赶不上的不追，不属于自己的不要，。。挽留不住的不留，生活哪有那么复杂？。。——丰子恺
1688594862# #用相机拍照是一种错觉……他们是用眼睛、心灵和头脑拍的。。。——布列松。。摄影超话霞浦霞光日落拍照
1692945736# #人之所以痛苦，来自能力配不上欲望。
1687913438# #传印老和尚说：《文钞》是小本的大藏经。。传印长老|《文钞》全是印光法师悟道以后的真实悲智的吐露
1688024660# #天热，看看雪！
1690876358# #故宫最喜欢也是拍的最多：故宫的光影。故宫超话爱上紫禁城故宫光影
1703501361# #你接纳什么，什么就消失；。。你反对什么，什么就存在。。。如果你不明白你的敌人是你自己，。。你会把所有的时间精力。。用在改变别人上，。。最后一无所得。。。——宗萨钦哲
1690064930# #万千气象下的紫禁城，风霜雨雪，四季轮转，或晴或雨，或霜或雪。。。故宫的雨，人们往往会有许多联想。属于故宫的千般光影不断变幻，仙宫般的镜中楼阁，组成了故宫雨中与雨后的唯美画卷。。故宫超话故宫爱上紫禁城
1700049130# #三杯藕夹。。下饭菜，藕脆脆的，吃起来很满足。。慈实素食超话每日一餐分享美食分享素食素食主义素食养生不可辜负的美食我的美食日记家常菜
1689593637# #后天去国家大剧院
1698993008# #深秋的亚丁。摄影超话亚丁深秋稻城亚丁川西稻城亚丁
1699480375# #故宫博物院超话
1699926212# #世界上最大的监狱，是人的思维。我们每个人都被自己的认知牢牢禁锢其中。。。——叔本华
1690979889# #天津安里甘教堂与咖啡☕️摄影超话摄影咖啡摄影人教堂教堂咖啡安里甘教堂
1699279342# #快要立冬了：塌菜冬笋炒年糕。。北京突然提前入冬了，立冬节气已经不重要，事实上已经入冬了。。。每到冬天的时候，冬笋上市，塌菜也经过了霜打，这个时候来一盘塌菜冬笋真的是应季的极鲜美组合，如果再加上年糕，就变成了完美的主食。。。清清爽爽吃塌菜和冬笋组合，本味就足够鲜美了，塌菜略微有点苦，但是
1693352046# #众生欢喜，诸佛欢喜，令众生生欢喜心就是放生。
1693639995# #【回忆之旅】台北长春路，早点。。。慈实素食超话每日一餐分享
1696563959# #乌镇永远是乌镇，。在这江南水乡最美的一隅……。如黄昏的一帘幽梦。
1704034270# #不完美才是美，2023年大家一定不完美，因为人生本来就不完美。
1699972093# #红枣汁煮板栗🌰，先煮后烤，配茶非常好，一天吃10个养生。。。慈实素食超话每日一餐分享美食分享素食素食养生我的美食日记冬季养生茶
1687146247# #转发微博
1701861549# #念佛才是真正清净、正当的一条路，是往生西方的路。大众同声念佛，一心专注在佛号上，就能到西方。不须买票搭飞机，西方法船是无色相的。。。如果你们相信我的话，老实念佛，行住坐卧不离佛号，甚至梦中都能把持得住，把一句佛号谨记在心，到了这个时候，自然心不贪念，意不颠倒，西方极乐世界自然现前。
1696925886# #故宫，夕阳无限好。。故宫超话爱上紫禁城故宫夕阳夕阳西下
1691985021# #佛为心，道为骨，儒为表，大度看世界。。。技在手，能在身，思在脑，从容过生活。。。——南怀瑾。故宫超话故宫爱上紫禁城
1691573976# #故宫博物院超话
1700047629# #川西人文扫街。。摄影超话人文摄影街拍随手拍人像摄影扫街川西川西旅拍荥经汉源
1692717493# #真正懂得了诸法的事实真相、真理，这叫开悟、证悟，也叫看破。。。看破了诸法的事实真相，弄得一清二楚了，才能放下，心才不会随着这些境动。。。若是没有看破，就放不下；若是真正放下了，就一定是看破的。
1701756612# #五宝养生茶。。食材：红枣片（去核）、胖大海、金银花、枸杞、茯苓。。。全部食材放入药包中，扎紧袋，我用农夫山泉矿泉水，最好用砂锅熬，大火烧开调小火慢慢煮。。。跟茶叶一样第一锅煮开，水倒掉，重新煮第二锅才喝。。。慈实素食超话每日一餐分享素食养生养生茶
1694915976# #故宫博物院超话
1698707260# #秋季的红螺寺，净土宗十二祖彻悟法师的祖庭。
1696810993# #人生的真理，藏于平淡无味之中。。。人生，哪能事事如意；。生活，哪能样样顺心。。。无论你遇见谁，他都是在你生命中该出现的人。。故宫超话爱上紫禁城故宫人生感悟觉悟
1700609677# #小雪到，冬始俏。。。一片飞雪一片寒，一座宫殿一座城。。。故宫超话小雪今日小雪爱上紫禁城故宫上新了故宫
1692427802# #海参菇青麦仁红菜头片卷。慈实素食超话每日一餐分享
1694413588# #酱香月饼🥮，不知道怎么样？闭嘴闭嘴闭嘴
1697464023# #银耳柿子。。用的是柿子中间的软籽，非常特别吃法。。。慈实素食超话每日一餐分享不可辜负的美食美食分享我的美食日记美食时刻
1695468008# #天津民国时期的建筑有特色，安里甘教堂很美，咖啡☕️有味道。
1690432831# #故宫博物院超话
1688279244# #魔都，魔力四射。摄影超话魔都魔力四射上海
1699172551# #菌菇红烧豆腐。。慈实素食超话每日一餐分享家常菜我的美食日记美食分享不可辜负的美食
1692794429# #上海的老房子，以前在上海拍过，下次回上海再去拍。
1698373710# #新华社北京10月27日电中国共产党第十七届、十八届、十九届中央政治局常委，国务院原总理李克强同志，近日在上海休息。。。2023年10月26日因突发心脏病，经全力抢救无效，于10月27日0时10分在上海逝世，享年68岁。
1695712136# #桂花酒酿酸奶，靠谱。
1696031849# #刚才拍的，很美。
1688518377# #故宫博物院超话
1694644882# #此菩萨威神誓愿，不可思议。若未来世，有善男子，善女人，闻是菩萨名字，或赞叹、或瞻礼、或称名、或供养，乃至彩画、刻镂、塑漆形象，是人当得，百返生于三十三天，永不堕恶道。。。阎浮众生起心动念，无不是业，无不是罪。。。——《地藏菩萨本愿经》
1703905173# #莫扎特G大调《第十三号小夜曲》作品525，音乐治愈心灵。艺术世界中，最不可思议的莫过于音乐了。。。北京音乐厅新年音乐会。音乐超话莫扎特莫札特:G大调第十三号《小夜曲》作品525第四乐章「轮旋曲」音乐北京新年音乐会音乐
1694414112# #酱香月饼🥮，肯定好，至少保质期会加长。
1702991343# #像是油画作品
1692743180# #今天处暑，就是出暑。暑热消退是一个缓慢的过程，并不是暑气下降马上就凉爽了，真正开始有凉意要到白露之后。
1690186916# #故宫里鲜活水灵的石榴故宫超话故宫爱上紫禁城石榴紫禁城
1688798709# #学道别无实法，变化气质，克除习气而已。气质变，品格不期超而自超。习气除，佛法不求透而自透。金以炼而精，镜以磨而净也。。。今之学者吾惑焉，任卤莽之质而不知革，益骛外之习而不知返，投铅铁于真金，求斤两之多，不知其杂伪不堪也，用白嬋涂镜，欲光明洁白，不知其埋没愈甚也。。。真有志圣贤佛祖
1697983927# #奶酪𤠣头菇布袋夹饼，卤的𤠣头菇放在里面，外面是芝麻空心饼，很好吃。。。慈实素食超话每日一餐分享
1693793623# #我八岁那年问父亲:“佛是什么?”。。父亲答着:“佛就是人。”。。又问道:“人是怎么成为佛的?”。。父亲答道:“是依照佛的教诲。”。。又问道:“教诲人的佛，又是什么教诲他的?”。。父亲答道:“那是前辈佛教诲的。”。。又问道:“那最先开始教诲的佛是怎样一位佛?”。。父亲答道:是从天上降下来的，是从地下冒出来的
1689924081# #生活就像一面镜子，影像都在镜子里，无所谓好坏都是无数小点组成，我们不用去分别。。。轻如云，静如水，如同平静的湖水，缓缓流淌，一切都那么的安静，安静得这么恰到好处。
1696072003# #大裤衩悬月。。。今天早晨空气质量很好，清晰度很高。。十五的月亮十六圆超话大裤衩悬月摄影月落
1697731571# #练字要从一横一竖写正开始，走路要从一步一步走稳开始。。。知见正则心正，心正则行正，行正则入甚深般若，种得清净菩提，成就圆满智慧。
1699251431# #上海的深秋🍂。上海超话秋色泰晤士小镇银杏叶欧式建筑
1702387117# #三杯酿羊肚菌配豆瓣芦笋。。慈实素食超话每日一餐分享美食分享素食主义素食我的美食日记好好吃饭美食时刻
1695475418# #秋分。。平分昼夜，。平分秋色，。平分冷暖，。平分时光。。。平分亚洲。一半在杭州。
1687940255# #转发微博
1689491784# #素的奶白汤，突发奇想而成。。。慈实素食超话每日一餐分享家常菜
1693577856# #任你千般快乐，无常终会到来！。。渐渐鸡皮鹤发，看看行步龙钟。。假饶金玉满堂，难免蓑残老病。。任你千般快乐，无常终会到来。。唯有径路修行，但念阿弥陀佛。。。——莲宗二祖善导大师。极乐净土超话善导大师阿弥陀佛
1700275003# #今年银杏叶黄的最美是：红螺寺
1697542296# #起司脆片酱𤠣头菇卷饼，酱香浓郁，美味可口。。。慈实素食超话每日一餐分享美食分享美食时刻不可辜负的美食我的美食日记
1699429905# #开悟之后，才明白心是总导演，是自心的主人！。。红尘如泥，我心如莲花，迷时泥渡，悟时本渡，莲花本出淤泥不染其净，就像咱们的心，心如明镜本自清净，是原始不变的本体，一切万象如尘埃一样本就染浊不了其心之净，尘埃本幻，本不可思议，就像淤泥能长出莲花。。。人生也是如此，在迷失的世界里红尘能炼心
1703921632# #2023年回顾，2023年2月拍故宫午门的鸽子。。故宫超话爱上紫禁城故宫上新了故宫
1700375457# #江西婺源石城，去过两次，早上随着太阳不断升起，景色随之而变，直到太阳高照雾气散去。。摄影超话婺源江西婺源石城
1687586229# #26号回北京，成功避免一次高温。
1692251976# #京兆尹七月初一奉粥
1698840518# #地坛公园今天官方网站发布，地坛公园目前还是绿油油。
1702478985# #景山公园寿皇殿，和故宫一样。。故宫超话景山公园寿皇殿爱上紫禁城故宫
1699177911# #故宫博物院超话
1689323974# #佛是觉悟的众生，众生是未觉悟的佛。。。心、佛、众生三无差别，差别只在迷悟之间而已，迷失自性就是众生，觉悟到自性就是佛。
1703402033# #上海人对馄饨的钟爱，就像北方人对饺子的钟爱。
1692876875# #故宫博物院超话
1702456553# #死亡，可能就像夜里做梦，梦醒时分，原来刚才做了一个梦，人生何尝不是如此。。。人只有到死的那一天才知道，借一副皮囊而已。。。
1696835438# #老坛酸菜𤠣头菇石锅拌饭。慈实素食超话每日一餐分享
1696229607# #深秋的红螺寺。。红螺寺是净土宗十二祖彻悟大师晚年的道场。。。嘉庆五年，彻悟大师退隐红螺山资福寺，静心念佛。。。1888年，时年十八岁的印光大师也曾前往彼处，参修念佛，得大受用。
1691552424# #字幕版《金刚经》读诵，第五品至第九品。
1699748839# #愿我来世得菩提时，若诸有情，众病逼切，无救无归，无医无药，无亲无家．贫穷多苦；我之名号，一经其耳，众病悉除，身心安乐，家属资具，悉皆丰足，乃至证得无上菩提。。。——药师琉璃光如来本愿功德
1691870329# #越是民族的越是世界的，我想说：越是人文的就越是人类的。。。这是众多作品中我喜欢的。
1698929954# #这张拍摄于上海，是12月，比北京晚一个月。
1693303852# #明天中元节，是道教名称，习惯俗称为七月半，佛教则称为盂兰盆节。追怀先人的一种文化传统节日，其文化核心是敬祖尽孝。。佛教传统文化盂兰盆节尽孝七月半中元节
1701951377# #开心果碎煎豆腐佐牛肝菌酱。。慈实素食超话每日一餐分享美食分享素食养生素食主义素食我的美食日记不可辜负的美食
1701252707# #宗是修行要径。会体枢机。而万行之纲领也。提纲则众目张。挈领则襟袖至。故体后应须辨宗。此经以信愿持名为修行之宗要。。。非信不足启愿。非愿不足导行。非持名妙行。不足满所愿而证所信。。。经中先陈依正以生信。次劝发愿以导行。次示持名以径登不退。。。信则信自。信他。信因。信果。信事。信理。愿则厌
1689178694# #我用听歌识曲识别出了歌手VariousArtists/DavidPlacencia的《ManchusriNun》，听听看
1698533725# #北京八大处，四处是大悲寺，大殿后有两棵银杏树，树干高耸，据记载已800年之久，至今长势旺盛。。。大悲寺的首层建筑是山门殿，殿脊正中装饰“百鸟朝凤”砖雕图案。上面镌着“敕建大悲寺”五个大字，是康熙大帝御笔。。。山门殿内居中是“大肚弥勒佛”坐像，眉眼如月、笑口常开，洋溢着一团喜气。。
1701862450# #清净心是智慧种，一般人误会，认为多读诵可以生智慧，其实错误。佛说，多读诵是禅定障，有禅定障的人，不开智慧，所谓定能生慧嘛！散乱心不生慧。。。所以《般若经》上说：一念不生般若生，心清净到一念不生的时候，般若生，般若就是智慧。。。生智慧有三种缘，障智慧也有三种缘。生智慧的三种缘，第一个是
1692078341# #蚂蚁🐜是二维空间，我们是三维空间，四维空间看我们和蚂蚁🐜差不多，我们向蚂蚁窝倒点水，蚂蚁就是山洪暴发。
1697098985# #以清净心看世界，以欢喜心过生活，以平常心生情味，以柔软心除挂碍。
1695022927# #现在做素食有心得，和荤菜一样先上浆，后滑炒。。。慈实素食超话每日一餐分享
1693611508# #任你千般快乐，无常终会到来！
1694587594# #缘起性空，无一是你，无一不是你。。。见自己，见天地，见众生。。。一滴水，也是海，区别就是无小我，装的多。。。见的多，最后选择了做自己，孤独而行，明心见性。。故宫超话人生感悟故宫爱上紫禁城宫廷本来无一物缘起性空
1689775433# #信为道元功德母，长养一切诸善根🙏🙏🙏
1690111134# #铜锅，中国传统的不粘锅。
1702716678# #这是杭州的雪。杭州雪杭州生活
1703374784# #什么是布施？。处处给人家方便，就是布施。。。——南怀谨
1688472153# #一切如来本起因地，皆依圆照清净觉相，永断无明，方成佛道。。。“云何无明？善男子，一切众生从无始来，种种颠倒，犹如迷人四方易处；妄认四大为自身相，六尘缘影为自心相，譬彼病目见空中华及第二月。。。善男子，空实无华，病者妄执，由妄执故，非唯惑此虚空自性，亦复迷彼实华生处，由此妄有轮转生死
1697813031# #北京五四大街，北大红楼金秋十月，近代五四运动从这里出发。。北京超话北大红楼五四大街金秋十月五四运动
1701391574# #做自己就好，这个世界本就不完美，学会接受和理解，降低期望，多要求自己不强求别人。。。人无完人，事无完美，有些人计较会烦，有些事在意会累。看得淡一点，开心多一点，抬起头，低下心，踏实做事，简单做人。
1696890087# #北京秋色最佳时间，从霜降开始各种树叶陆续变黄，到立冬开始黄叶陆续掉尽。。北京超话中国节气之平分秋色秋色北京秋天秋日北京秋天去哪玩北京秋天随手拍
1698055356# #明天霜降，霜降习俗吃柿子。。。好柿临门。柿柿如意。心想柿成。万柿大吉。慈实素食超话每日一餐分享
1688786348# #上海盐汽水，一到夏天念念不忘。。。慈实素食超话每日一餐分享
1699745496# #初冬第一份生煎香菇青菜生煎包。。上海宁叫“生煎馒头”，在上海几乎吃不到素的“生煎馒头”。。。素馅别有一番风味，同样鲜香扑鼻，真的非常好吃，咽的是一种感觉。。。慈实素食超话生煎包每日一餐分享美食分享我的美食日记不可辜负的美食素食种草素食养生素食素食主义佛教
1703991556# #农历十一月十九，日光菩萨圣诞！。。日光菩萨与右胁侍月光菩萨在东方净琉璃世界，并为药师佛之两大胁侍，也是药师佛国中无量菩萨众之上首菩萨。二大菩萨共同辅弼东方净土药师如来弘扬琉璃净土，一左一右，普渡有情。
1702759340# #所谓摄影，就是拍摄你最喜爱、最亲密的东西，拍摄近在眼前、就在身边的东西，就是拍人。。。——荒木经惟。。图片3年前拍摄于四川雅安。摄影超话荒木经惟记录生活近在眼前四川身边事四川雅安图片记录生活用摄影记录生活可以不懂摄影但一定要记录生活拍摄
1702353196# #初雪，故宫最美无过于下雪后的紫禁城，丹宸碧瓦与雪相接，雪天一色。无尽绵延的洁白世界中，更藏着不同视角下的细节之美。。故宫超话爱上紫禁城故宫的雪故宫上新了故宫
1702025098# #江西婺源石城村，秋季的早晨。。。摄影超话婺源石城江西婺源秋色婺源石城赏枫秋色婺源
1696669843# #寒露，不负时节。。 芝麻糊、桂花酒、寒露茶…防秋燥。。 柿子由青转黄，有极少数的开始红了，。像小灯笼一样藏在墨绿的叶子中。。。白露身不露，寒露脚不露。
1690073510# #今天大暑，一场大雨之后，北京并不是很热。。。冷不过三九，热不过三伏。三伏天，要顺应天时，做到一个“伏”字。二十四节气超话二十四节气大暑
1693448484# #内心越是丰盈生活越是素简
1702958383# #故宫博物院超话
1690937688# #转发认证
1701246265# #一季一风景，春夏秋冬，呈现着不同的风景。。。沧海桑田，演绎着别样的情怀。。。秋风吹散浮生梦，苦辣酸甜是人生。没有人不辛苦，只有人不喊疼。
1696494861# #动静等观春秋一如。。大觉寺秋季银杏叶。
1702730750# #审美累积｜丹麦摄影师AndreasJorgensen。。AndreasJorgensen出生于70年代，现居瑞典，是一位街头摄影师。他曾说过：。。“我只在阳光明媚的时候拍摄。阴影、剪影和神奇的光线是我在城市中不断寻找的，我想在其中感受到的是平静与和谐”。。。摄影师每次去一个地方，他总是把相机比作色彩、故事和画笔拿在
1701776052# #江西婺源篁岭，秋季一个非常值得去的地方。
1697668546# #清者浊之源，动者静之基，。人能常清静，天地悉皆归。。。亮一盏心灯，与清静常做伴。忘却世俗的纷纷扰扰，只种下一颗智慧的种子，留待它生根发芽。。。都摄六根，方为清静。
1695190871# #然所谓夹杂。正不在看经寻论。乃在世间利名烦恼我慢悭嫉放不下。。。尝见主宗乘者动以经论为杂毒。反置习气于不诃。岂知古英杰凡情先尽。。。故但扫其圣解。今人浊智流转。不向痛处加锥。云何出得生死。。。——蕅益大师《灵峰宗论》。极乐净土超话人生感悟除了生死,都是小事人生
1696727509# #故宫慈宁宫花园丹桂，丹桂飘香。。。今天寒露，桂花从秋分陆续开放到寒露陆续结束。。故宫超话爱上紫禁城故宫丹桂飘香寒露今日寒露
1701432556# #故宫博物院超话
1698480303# #2023年珠海超级精英赛，郑钦文2比1击败奥斯塔彭科，晋级4强。。。实时世界排名来到第18位创造历史，夺冠首进世界前10。郑钦文晋级珠海赛四强珠海wta超级精英赛
1703120138# #这是以前在上海田子坊，喝的搪瓷杯咖啡☕️。。上海超话上海田子坊咖啡记录生活
1690503098# #不悟，即佛是众生；。一念悟时，众生是佛。。。——《六祖坛经》。。人人都是佛，只是悟与不悟。
1694927739# #一切诸法，本自不有，不过自心所现。众生迷惑，妄起计着，究其大病，秪因迷己为物，又复于中认物为己。所谓妄认四大为自身相，六尘缘影为自心相，此即无始生死根本也。。。迩来稍解佛法者，纵知四大非身，全不知缘影非心。不思缘影便是一物，何能灵妙常知哉。然正认缘影时，缘影元非心，而妄认缘影者，元
1704082990# #新年快乐🙏，我爱好广泛作揖
1691629461# #出三界火宅。有横竖两途。以自力断惑超生死者。名竖出三界。事难功渐。以佛力接引生西方者。名横超三界。事易功顿。远祖云。功高易进。念佛为先。。。经云。末世亿亿人修行。罕一成道。惟依念佛可得度脱。。。如趁船渡海。不劳功力。夫能笃信西方捷径。至诚发愿。一心念佛求往生者。真大丈夫矣。傥信不真。
1700800261# #适合冬季的“蘑菇荠菜豆腐羹”
1695092618# #人闲桂花落，。夜静春山空。。。月出惊山鸟，。时鸣春涧中。。。——王维。。摄影超话王维秋色桂花颐和园八月桂花香
1697033390# #故宫博物院超话
1695734581# #东宫门一进来的【夏宫咖啡】，环境不错适合来这里坐坐，发呆，桂花拿铁一杯，小风吹吹，可以闻到桂花飘香。
1698149799# #卤水猴头菇冻。。先用卤水，卤制猴头菇，然后用海参菇组合𤠣头菇，制作成冻，然后切成片而成。。。香气浓郁，口感Q弹，鲜咸可口，回味无穷。。慈实素食超话每日一餐分享
1703231140# #只有冬至日才能照亮的“正大光明”牌匾。故宫超话故宫上新了故宫爱上紫禁城故宫正大光明牌匾被金光点亮正大光明今日冬至
1700108260# #故宫博物院超话
1698033536# #色艺的秋日北京。北京超话金秋十月秋日北京的秋色
1696775652# #张之臻创造了大陆男选手网球历史
1693044199# #秋天美食：桂花糖芋艿。。慈实素食超话每日一餐分享
1704033424# #2024年是“龙年”，这是故宫里的龙，中国千百年来皇帝就是龙的象征。。故宫超话爱上紫禁城故宫上新了故宫龙年2024龙年吉祥
1687175759# #中国站在美俄中间最好，利益才能最大化。
