1697935988# #已然如此，不如接受
1703255230# #现在每天晚上睡觉之前都会看几集《老友记》，目前已经追到第六季了，每次都会被逗得哈哈大笑，当然大部分时候都是因为钱德勒，事实上他也是三位男士里面最可爱的一个，充满了弱点，非常怂，非常脆弱，但是又非常聪明，有趣，看剧的时会觉得他在这一季里特别的瘦，有时候又会觉得他在那一季特别的憔悴，
1691886845# #凌晨四点半的迪拜机场，突然传出巨大的男声吟颂，很震撼，查了一下，原来这叫FAJR，晨礼、是早晨的祷告，从黎明初现到日出结束这段时间内，大约在凌晨4:30—5:00之间开始。虽然黎明到日出都可祷告，但最好是在黎明以后就祈祷。需要默读两段古兰经。
1690618245# #今天阴差阳错和Kristie在柏悦约了一个早茶，聊了许多旧人旧事，记下了许多金句，甚是惊喜和开心，知道了很多新消息，追问了很多旧时名人的消息，感觉是层出不穷的新人，不想离座的老人，这是一个激越的时代，时代车轮滚滚，抛下是迟早的事，只是抛下之后人的姿态才真的考验人，盘点了许多外企的进与退
1692642816# #据说整个葡国最好吃的萄挞，底脆蛋嫩，确好吃
1688718261# #每走一个旧友，你的精神世界就塌陷了一块
1703036368# #今天出太阳，晨早收到礼物，惊喜意外，香槟、曲奇、果酱、巧克力、薄荷茶……梵克雅宝总是会给你最温馨，最香气四溢的感受，幸福满满……
1690642019# #今天忙一天，做了家务，涂了指甲，插了花，写了篇小稿，身水身汗从电脑前抬起头，收到晓蕾给我的书评，看完好感动，这辈子我就是在女人身上感受到最多的善意和美好，贾宝玉说得对，女人心好爱心
1701572815# #忙了一早上，现在才停，葛优躺时想起我妈忧心忡忡的问我你一个人住不寂寞呢，我瞪大了眼睛，“妈妈，我每天不知道有多忙，真的是抽空才能回来看你，”要遛湾要打八段锦要插花要换盆要写作要改稿要洗衣服要收拾东西，简直都不能想象一个需要照顾全家人的全职主妇会有多忙多累，反正我光是把家搞整洁照顾
1700808515# #今天的这件鹅绒大衣，亲身体验，贼轻贼软贼暖，超舒服，关健还可一衣两穿，大衣与马甲共存，久久无法忘记的一抹冬日阳光。
1691330698# #今天弟弟从湖南长沙到广州来探亲，晚上带他们去羊城创意园3号门的湘江秘制吃正宗的湘潭菜，我真的好少在广州碰到真正的湘潭人，吃上真正的湘潭菜，老板娘彭姐姐从砂子岭来，在广州创业八年，做了两家店，原来她的店像一个文艺女青年的龙门客栈，有阁楼有小桌，现在换了地方，终于是有个三个包间，关健
1703250210# #冬至，天蓝，仍冷，上午看病，下午和妈妈包饺子，晚上全家人一起吃饭，督促每一个人早早开起电热毯，这样，睡觉的时候连被子也会被烤得热酥酥的呲牙
1696123015# #一边做家务，－边听这个，还蛮好玩的挤眼
1701327564# #干饭人
1697861539# #因为到广州南站交通出名的乱，所以很久没有打过滴滴了，以往回去都是坐地铁到昌岗，然后再打个车。这次因为带两个老人，特地发了小红书找到了打滴滴途径，原来现在是要找到北十号拱门这里，找到P5停车场，然后叫车，告诉司机在P5的一号通道等，然后就可以了调皮提醒P5里有一大批涌上来说马上可以走的
1691745366# #冒着烈日拍了两个小时，回来必须慰劳一下自己，又是湘菜……一边吃一边想起摄影师小霞拍摄的时候对我语重心长的话，你还是要减一点啊，减一点上镜好很多啊，我说我是很想减呀……想减你还吃那么多湘菜………言犹在耳，可是我又吃上了……
1695610919# #回乡，难怕是一等座，车厢里也充斥着声音，打电话的，小孩打游戏的，儿歌联唱，刷抖音的嘎嘎笑……大家似乎没有静音意识，我有个朋友更惨，怕吵买了巨贵商务座，结果全程被一个小男孩跳椅子的声音闹晕，－对爷爷奶奶，根本管不住孩子……想想她，我心平静，做一个知足常乐的人……
1692369953# #随手翻开西班牙的报纸，嗯，感觉它们主要的议论对象是政治人物社会人物，而不是明星……
1701242937# #SunSun镜头下的小公寓，我心目中广州最会拍美食美物的美人，感受到她惊人的才华与对人的善意，内心有爱的人永远快乐。
1690728962# #芒果TV也有了黎贝卡女士《－百个女孩的家》，真是与有荣焉让我看看
1702860799# #张雨绮今次想做黑天鹅，也是蛮好的，红毯最显眼是她了，比较幽微的是，曾经是女明星的梁静就一身黑，哦，她现在是制片人了，可见女明星这个职业，还是蛮影响衣服的选择的，这是蛮有意思的。腾讯视频星光大赏
1703858017# #看过这么多场“例外”的大秀，今天晚上这场是最震撼人心最阔大而且最有卖相，已经看中好几套，不虚此行！
1693997938# #认证
1693554346# #人是好人，就是话多。李宗盛做为男人的部分。挤眼
1702565597# #五个月前，我还是走在大路上遥望这座奇丽壮美的大楼游客A，五个月以后，居然住进来成为住客，怎不叫人感叹缘分奇妙，一进房，第一反应是这果然是何家大家姐的品味，充满了老钱的质感，于无声处听惊雷，舒适、简洁、艺术……
1702655761# #今天晚上真是出晒冷汗，和四位烹饪大师同桌一起品尝许家菜，这是成都川菜大师许凡联手美高梅的星馔之夜，许家菜二十四味，我自己个人最喜欢的是那道青辣四川水库翘壳，许大师亲自带了条20斤的大翘秃鱼来澳门，只取肚腩部分，配上如青椒，鲜嫩香口，另一个泡椒汁两头花胶肚，让我惊为天人，真没想到花椒
1694236633# #有肚子的哈比人之牛仔神裙，显高十公分显瘦二十斤，超级好！今日中午“蓝小姐和黄小姐”
1694229109# #一早去早市，好咔是好咔，就是吃得身水身汗……
1695200999# #现在的骗子真的无孔不入，我妈连续接了两天的电话，一个青年男子打电话来嘘寒问暖，叫了一声姨妈，我妈马上以为是她一个侄子，说你是XX么？男答是，昨天聊了一气，结果到今天说了半天，男子说要借几万块钱，我妈迟疑地说现在没有，过几天才有，结果回来同我说没借钱给他佷过意不去，我马上说这绝对是
1704269776# #昨天听到这首《尘缘》，内心震动，这是少女时代最喜欢的歌，想不到在这里听到……眼镜王到底买了多少首九十年代老歌的版权，介多，不花钱么允悲
1693042570# #昨天也看了这段，嗯，拥有自己空间之后欣喜若狂的凝视心
1698444740# #黄钟尽毁，瓦釜雷鸣，近小人而远君子的时代，在历史上并不罕见
1692720483# #在自由大道上找到一家地下的家居店，好可爱呀，好萄匍牙调皮
1698110658# #哈哈哈哈，被事主看见了挤眼可惜把我们公号名字写错了
1697466525# #要不是辜负姑父一力要求，我也不知道近在咫尺有这么一个神奇的地方叫水府庙，有这么大的地方，是涟水的由头，有点类似于英国的湖区，就是有许多的湖，然后有许多的岛，但可惜，这么好的资源，却很少被外面的人知道，当然也是因为开发的不好，以前开发的老板搞那种印度吞蛇搞人妖表演当然很LoW,被取缔也
1692427507# #瓦伦西亚古城，文化交杂融会之处，好喜欢这些工艺品，可惜带不回，好在拍下即拥有坏笑
1691743267# #把国内医疗腐败的问题全部归罪于市场化，显然是一种偏见。官员也不能经商呢，难道就没有腐败分子了吗？市场化不背锅。
1700125343# #三十岁时生活露岀了狰狞，五十岁时生活张开了血盆大口……就是，要努力锻炼身体，努力求生，努力照顾好身边的人干饭人
1695284992# #传记写得这么好看也是不多的。
1699067711# #是啊，真的是时日如梭，今晚八点，等大家！
1700180770# #《纽约时报》：《寻找丽贝卡》与弗拉基米尔·纳博科夫和罗伯托·波拉尼奥的小说有很多共同之处，在他们的小说中，虚构的人物经历了文学史上的动荡时期，看上去一切仿若真人真事。这是一本有趣的小说，充满了对战后几十年英国人智识与社会生活的巧妙演绎、翻转和比喻。
1700125189# #一个软弱又多欲望的人就有点危险了
1691943408# #雅典卫城，公元前5世纪的人类的杰作，巨石，雕刻，建筑，完全无法想象，那时的人类是怎么建造出来这雄伟壮丽的神邸，地上的石头已经光滑如镜，无数人在这条路上走过，参观的人流如织，大部分的女士都穿得非常有气质，还有一只黑猫状如国王一样逡巡这片神奇的地方，仿佛这里是他的王国……
1701493876# #回广州前去探老友黛二，看她如何把一个六十平米的老公房如何折腾成了两室两厅，今天亲见，果然绝妙，那真是一寸寸一点点抠岀来的，比如在大厅隔出一个阳台，然后贴上竹影落地玻璃，从里面看是一个和室，我们都是对家具设计格外有兴趣的人，我是只懂享受的，而黛二是纯靠一己之力在深圳亲手建设了自己的
1697789149# #长沙曼哈顿之社会闲人游
1691229430# #我妈妈从小严厉教育，绝不能驳嘴，导致了我很惧怕跟人吵架，正面对撼。不吵架，什么不满都埋在心里，突然某一天就崩塌了，然后就绝交，这是我以前的感情模式。但是现在终于知道原来吵架也是一种沟通，要怀着大爱，温柔而坚定的说出自己的想法，不要被情绪褒协，因为我们目标不是是吵赢，而且确保彼此信
1692172688# #一个胖子训练一个瞎子弟弟拍片，最终练成原片大法，可见拍照完全以角度取胜捂脸
1700621972# #妈耶，终于找回我这只四大皆空的杯子了调皮调皮调皮调皮
1704201676# #开年读《繁花》，这回我是大概读懂了，电视剧再不好，但也至少有这点好，树立了人物的样子，不熟悉上海风情的人大致有了方向，可以读下来，体味出其中之味了，此事善莫大焉，要不然阅读门槛真的太高了。捂脸
1694063375# #和蓝小姐在深圳万象城遇见麦卡伦盈钻，小喝一杯，入口轻盈，果味丰富，惊为天人，认真阅读盈钻「Litha」背后意义就更加觉得我和蓝小姐才是最应该喝盈钻的女人——毕竟盈钻在古凯尔特语里意为「夏至」，寒与暑两股力量的首次相遇，孕育出全新的自然平衡，正如西班牙的热情与苏格兰斯贝塞的天然本色犹若
1698071149# #忙乱了一天，房子还是放点植物有生气，好喜欢这满窗的绿挤眼
1701481502# #以前入住安达仕只觉得无来由的喜欢，昨天听过戴西介绍才知是华裔设计师季裕棠（TonyChi）先生的作品，同样东京安达仕、广州东方文华、还有伦敦的瑰丽酒店都是他的作品。大师坚持一城一座，极具个人风格，照片完全拍不岀那种熠熠生辉的质感，木头的、皮的、墙纸的水鸭蓝墙板的大理石的……我特别喜欢安
1690615602# #昨天六点起床从武汉急急飞回广州，为的是参加在四季酒店的媒体下午茶，已经很久没有参加这么international的聚会，分别见到了来自韩国首尔，日本，巴厘岛，越南，曼谷和伦敦四季酒店的PR，还有四季集团亚太区PRDVivian，我老是觉得酒店人是一群特别的人，他们身上有一种特别的风采，热情、开朗、富有
1699965100# #今日大局，到达了小宅接待人数新的高峰，好在是老友，我可以安心退后，听着一屋子叽叽喳喳，就觉得很高兴，人气真的暖屋，千里迢迢叫了容太大哥餐厅的绝世肥美烧鹅，送到时还是热辣香酥，阿MAY打包了潮州卤味，秀姐做了七八味拿手小菜，蓝小姐还打包了四五个下酒好菜，开了三瓶酒，吃了法国甜品，围着
1696586694# #请了两位整理师整理衣柜，和她们共同战斗了两个小时之后，我就崩溃了，坚决的以后绝不能买这么多东西了，太可怕了……一个人做合乎自己能力范围之内的事太重要了裂开裂开裂开
1691823435# #此名单还很长，例如金巧巧、周冬雨……
1693708513# #看到这一灰一黑的珍珠扣羊绒衫时，大叫：呀，这绝对是我的衣服！黑的绝对要拿下，灰的这次好像更好……面料是羊绒羊毛混桑蚕丝，兼具着真丝的光泽、羊绒的蓬松，细腻柔软有分量；保暖、舒适、美貌，贴身，还有一种曾历风雨却不想放弃的一丁点的浪漫……今天中午十二点，淘宝“蓝小姐和黄小姐”，即刻上
1701420409# #蓝小姐说同是南洋风，安达仕比你家清雅调皮我说清雅和浓烈，我都至爱色
1690905164# #干了一天活，白天武活，晚上文活，中间还和智慧明灯聊了一个长天，得出结论：人生就是拥抱残缺，抱憾生存，一般无解，宜中西医结合治疗呲牙
1695876121# #一代代出生，一代代败落，不怕，我们有的是青春可以糟蹋，多少年前，她就写出这底子来了：你年轻么？不要紧，过两年就老了，这里，青春是不稀罕的。
1691798474# #在为植物续命这方面，可以说尽心尽力了……
1701043457# #谨慎藏书网友眼尖挤眼
1698071664# #真的离娱乐有点远了，到下午才看到新闻，这样的爆炸大新闻已经好久没有了，明星都想披上隐身衣，生怕有新闻，好歹总算是离了，真的，娘娘这一袭贤妻良母的大氅实在是该脱下了，八年了，完全不是她的戏份，中国好后妈这土气人设真的埋没娘娘身上的飒悍，婚姻是女明星的牢笼，必须是大杀四方的人才是她的
1688917493# #天气睛朗，风又大，三个家庭聚会吃大餐，又去参观豪宅，看到许多CD和碟，真好，还有巨大的油画以及赵少昂的花鸟，有文化的地方就是让人呆得舒服，小朋友们打游戏，家长们夜话家常，千言万语一句话，必须得晒太阳，必须得搞运动。捂脸
1692547051# #昨天在太阳门广场，四十度高温下，一个红格衫老头正在画画，巨大的画板，几支颜料，周围围着一圈人，方方激动地说，天哪，你们太幸运了，看到安东尼奥·洛佩斯·加西亚AntonioLopezGarcia画画，我已经六年没见过他了，疫情之后更没见过，你们太幸福了……我回去查一下资料，果然厉害，关健人家生于1936
1703772647# #骑士习惯了成功，没有注意到盔甲已经开始生锈。
1691896202# #两份早餐，共计48.00阿联酋迪拉姆，大概八九十人民币吧捂脸
1699625716# #房子住着很舒服，我却拍不出它的好，还得朋友们帮忙，我请一顿饭，老友记给我装电脑，倒照片、当摄影师，讲段子，说逸闻、开榴莲……总之有福之人就是我了调皮
1703554566# #昨天阳光灿烂，组织了一个冬日进补的羊肉局，喝了两瓶酒，聊到快12:00，增长智慧，非常温暖。偶像说，人生就是这样的，有牙齿的时候没有花生豆，有花生豆的时候没牙齿，当你懂得爱了，你的年纪也过去，裴教授幽幽地接了一句；是啊，人生总是充满了遗憾……陆梅再接一句，但是这就我们学到的事情，就是
1695964384# #明天即可看到good
1690883256# #拍片的一天，一口气拍了四小时，热天，这是我体力的极限了，中午吃了贼好吃的小炒黄牛肉，试了好多马上要上淘宝店的衣服，令人惊喜的“牛仔”系列就不说了，还有贼显瘦的针织衫，天哪，我这在shopping前线奋战了三十多年的人都震惊了，下半年真的会有很多超级显瘦实穿的品类，皮衣、冷衫与外套要上，其
1693143934# #下午去了著名的官也衔，这一个人头攒动，怀疑全中国的旅行团都集中在这里了，澳门天气特别热，特别闷，一走一身汗，瀑布汗，路经北帝庙，买了明报周刊，走回银河，又逛了一圈，银河的名店街，感觉这里的货比欧洲贵不少，澳币价格又升，相当于九折吧，买兴阑珊，只买了条圣罗兰的细金毛衣长链，以一碗
1701742856# #好开心收到的喜书2024月历，和我家好衬，她喜欢我家衣服，我喜欢她家月历，各得其所，各得心爱
1696085286# #承蒙抬爱，经常收到编辑给我寄来的样书，我不知道这本书是什么时候寄过来的，被我妈收到了书柜里，最近收拾书柜才发现了。。我得说最先是马来西亚吸引了我，这几年，对马来西亚特别感兴趣，因为华语写作似乎被马来西亚人抢走风头，这几年最受追捧的纯文学作家居然是大马作家黎紫书，你想象得到么？！人
1701355604# #《渡过愤怒的海》，非常推荐，虽然前半部分有点稍急稍乱，但是后面的反转绝对是立起来了，而且异常深刻和广阔，有些镜头非常震撼和高级，尤其龙卷风下鱼那场戏，极有宗教感，它能上映，也有某种神迹。。最佳之处在于我觉得这是一部难得的男性有反省的片子，正面质疑了所谓的父权神话。黄渤演的角色，无
1697851682# #昨晚欣欣指路，－家人去冇味吃饭，居然有一个叫板塘铺的包房捂脸店装修不错，设计也不错，营销蛮有一套，墙上挂满了店主和名人的合照，打了星的菜都好吃，臭豆腐和活鱼汤，脑髓卷都蛮正，没打星的菜都马虎，一堆切得极碎的辣椒佐料加一点点主菜，不得不说很🈶️湘潭菜的风采捂脸
1691166230# #一句话也不提女方，还以为他宣布跟滑冰结婚了
1693407949# #复兴公园遇法国娇兰，场面嘘撼，从来没有见过那么多Kol，算是见识了一下当下互联网最有影响力的人们，随便指一个都是千万粉丝，关健现场全变追星族，被娇兰花草水语全新代言人王鹤棣迷倒，弟弟果然厉害，娇兰直播室花草水语秒空，知道原来他最爱的是芳野仙踪，我也爱上橙花岩兰，晚上的派对喜见“质子
1692021164# #三点下的船延到六点，足足坐了一天的船，因为今天是圣母升天节，人多，希腊人上两天工，休三天，工作非常随意，旅行期间读莫里斯挺好，有一种世界在身边滔滔翻滚而你自窥然不动的感觉。
1688988664# #今日收获，卡尔拉斐酒店买卡尔拉斐，这个颜色，也是着实太狡，但包柜里没这个色哎……买包的理由
1694064222# #不知道为什么这么忙，写完最后一个字，再收拾东西，吃饭，找箱子，奔机场，啊，《色戒》，我来了……
1703208513# #冬日芬芳，晶莹闪耀宝格丽今日开箱记
1691297616# #非常凉爽，非常舒服，仿佛随身携带了一个小型空调，这次的“玻璃糖纸”醋酸背心裙，真的爱了色
1699317144# #昨天真是忙碌的接待日，来了三波朋友一波修理师傅，忙得我晕头转向，最后躺平，让朋友们自助煮水洗碗倒酒，很享受有一个地方招呼朋友，心里甜蜜蜜，感受到了新房子的威力，还蛮招人的，每次聚会都有飞行嘉宾意外到场，这个优点，希望保持！
1703692676# #从少女时代就认识利君，知道她热爱文字，但是我们真的没有想到她热爱得这么长久，这本《拾箸小记人间烟火里的湘菜》我知道她写了很多年，每一篇都出自真情与真心，这本书不是普通的关于湘菜的散文，而是一位文化女性的丰饶善美的内心世界以及一路走来的冷暖人生，还是不止歇的对烟火人间的热情，从石
1693672127# #看完最后一个镜头，砰，好像被子弹扎心，钉在椅子上，千言万语化作一句话：牛B
1698747311# #天气晴好，洒扫庭院，洗衣换被，乘着一屋子人，心想拾日不如撞日，干脆开火，急召秀姐前来，小撮一顿，七星报喜，顺利利利，听着步步高，大家吃饱饱，开始干活，一切都这么随兴，一切都那么有缘跳跳转圈跳跳转圈
1698502909# #万博，想认识一个窗户隔音方面的专家，可以介绍么？私信我🙏
1693800921# #真正有志气的人，往往就是这种giver。他们都立志去做资源的分配者，而不是瓜分者。不必眼巴巴地看着别人给，而是自己不稀罕甚至给得出来。
1688633124# #昨天去看消失的她，观众大概有十来个人吧。据说，这部片子已经狂卷了几十亿，只能感叹一声中国电影观众实在太惨了，只能看这样的片子，剧情主打一个很别扭，作为一个悬疑片的老观众，只觉得全程人工技术色彩很浓，为造而造。男生看了肯定是不舒服的，作为女性，我也并不见得很开心，出门的时候看到广告
1703481178# #四年前，用了孙楠老师一张照片，赔了五百元，原文如下，希望道歉能够让孙楠老师开心
1698656285# #走过老街小花店，看到一株可爱的山茶花，和董小卷这幅画呼应，赶紧买了回来，可惜被我碰掉一朵，放在碗里，希望它还能开。
1693759556# #能保住美人尊严的只有对芳华必然逝去的觉知，超越和泰然。这句话真好，谢谢你
1694620527# #事隔四年，今天去做了一个核磁共震，四年前第一次做的时候我差点幽闭惊恐症发作，这次安安稳稳，这是因为朱护长告诉我核磁没有幅射，只是强磁，人那，还是要有知识调皮
1691832043# #今天“蓝小姐和黄小姐”终于出第一条牛仔裤了，秒变大长腿，我看到照片都呆了。我以前从来不穿牛仔裤，没想到牛仔裤，竟然可以这么好看。
1692369111# #终于见到了高迪的圣家族大教堂，震撼，特别在六点的夕阳下，呆坐了很久
1699019386# #明晚八点，预约上，两年之后，再聊天挤眼
1694485870# #奔忙了一个多月，家成了旅馆，大扫除，然后把花插上，算是归家的仪式，接下来，要好好收拾东西，整旧纳新啦！玫瑰
1702898276# #这张脸，衬得馄沌店都腔调起来
1698448933# #昨天真是非常魔幻的一天，发生了那么多事，死去了那么多人，这也是我第一个因为失眠崩溃的早上，晨早就寻找了我的救援底盘，他们给了我切实的帮助，有时候你根本不明白人们口中轻轻一句表达之后的意义，所以圣经里说人要经受苦难，才懂安慰他人，经受苦难本就不易，过后，还要能安慰他人，该是多么厉害
1695776840# #这个中秋注定快乐，收到海英寄来的中秋礼物，昨晚抱着这本《杨凡的周璇1957》看了很久，高兴了很久，雅韵绵长，2011年杨凡拍下周璇的私人相簿，事隔十二年，再回到拍卖场上，这本是藏家自由，但没有想到杨凡把这本名为拍卖目录的册子做得这么好，完全是书，是研究资料，好厚，不但有影集照片还有周璇生
1703300777# #淳子问我：“你喜不喜欢那种免胶睫毛？就是新手也可以直接上手贴的”，我喜出望外，啊，当然喜欢，而且我急需啊！淳子又问我你喜不喜欢金宇澄老师的《繁花》啊？我说当然喜欢啊，二十七号要播了，我正想重看一遍呢！。淳子说，那我要送你一份神秘的礼物，然后我就收到了一个東一美术馆的袋子，里面有四
1701443292# #奔赴百里，见老友，探新店，有关蒂芙妮蓝色小盒子的梦想又添新List，这个圣诞，得有一个念想调皮
1692116876# #哪里都是网红拍摄队，圣托尼岛上应该云集了全世界的网红，拍日落的时分这一个美女如云，看呆了色
1701678452# #王恺老师《上海文学》这一期的这一篇，前面这一部分可以写成讽刺小说，后面这一部分可以写成惊悚小说，秒杀各种装模作样的文艺小说书写者，幸亏他写的是非虚构。
1693824635# #情感世界一如荒园
1690278397# #敢问一下天津的大虾们，天津最好吃的饭馆是哪家？在哪里？最好是在丽兹酒店附近……
1692420362# #今天“蓝小姐和黄小姐”淘宝店这套灰色羊毛珍珠纤维针织两件套装，真是一穿上就脱不下来，很薄，薄得来又有点挺，挺得来又有点透气，关健还非常实穿，－套有N种Look，更关键还超显瘦。绝了。
1695520832# #1998年的电影双周刊，嗯，黄金时代好日子，我们是有过的调皮
1704118635# #因为和紫苏一样是刘德华和梁朝伟的粉丝，所以《金手指》无论如何要去看，可能因为之前的风评不佳，所以没抱什么希望，感觉还挺好看的，紧凑，刘华合格，梁朝伟戏不错，人真的老了，发现了一个大帅哥，陈家乐真是帅，蔡卓姸真的有风情。看后有两个感想第一个是大茶饭不是每个人都能吃到的，吃大茶饭的人
1698451046# #昨天晚上去香港文化中心看了负有盛名的香港芭蕾舞团艺术总监卫承天的芭蕾舞剧《大亨小传》（又译“了不起的盖茨比”），我做为一个芭蕾盲，全程看得津津有味，第一当然是《大亨小传》的书迷，很多段落倒背如流这；第二是节奏特别明快，第三特别美，芭蕾舞演员天赋的身姿比例再加叶锦添操刀设计服装及布
1693914255# #一口花胶一口茶，财神干捞花胶配三宝茶
1694133130# #马来早餐
1702098101# #我这个冬天最爱的羊绒套装，好柔好暖好显高级，明晚八点直播开售！
1697188779# #所以说人还是要经常出来，才能邂逅很多新的惊喜，今天下午参加TOMFORDBEAUTY汤姆福特美妆举办「解锁隐秘之息」品牌香氛私享会，大家于舒缓的音乐与臻贵没药的神秘气息中，在老师的引领下开始冥想，宛若置身秘境，领略奔走繁华都市久未领会的平静，以前真的不知道TOMFORD私人调香系列这么牛，亲身体
1689375507# #看电影、吃烤鸭、配眼镜，徜徉于美丽家私中，带着晕晕的头享受一下午被照拂的快乐，感恩。
1691241758# #综艺达人詹仁雄出的这本书我特地买回来看，这几天看得津津有味，这是一个酒店爱好者如何从酒店装修偷师，应用到自己的生活中的热心分享手册。所以纵然图片很丑，但还是很能get到詹仁雄的热切分享的心，因为同为酒店迷，也同为装修爱好者，同样着迷于奢侈酒店怎样是能在最小的空间构造出功能极强但是又
1697695362# #一个阳光灿烂的上午，和喜欢的PoltronaFrau相遇在上海……
1689908626# #轻轻旋开，芳香弥漫，原来最适合这个夏天的香氛仪式就在黛珂开启。今日开箱记
1697333201# #显瘦显高又暖又大方的织金毛衣，今天中午“蓝小姐和黄小姐”
1693908456# #第一次住深圳君悦，是我喜欢的样子……这地头，宇宙中心吧，对面刚好对住香港粉岭的大山，也蛮奇幻的调皮
1704125053# #不得不说王家卫还是有两把刷子，昨天看到宝总跟李李深夜荡马路，电车线缠绕切割，情欲似放还收，今天看汪小姐等宝总不来，也是黯然销魂，宝总不来有不来的理由，到底还就是没有爱到那个程度，枉费了汪小姐的一片真心，但话又说回来，女人最好早一点遇到这种人生的沧茫时分，这个时候才知道有多爱都是空
1697449721# #我是个山里长大的孩子，记得小时候在山中的寂静时光捂脸
1689156688# #第一次看到中年妇女卖艺，唱卡萨布兰卡的粤语版，好击中灵魂啊，必须支持一下中年妇女再就业捂脸
1690985428# #下午飞车番禺，参加美好的家宴，好酒好音乐好手艺，关健家属下厨，女人们聊天，收到一只好美的泰式晚宴包，好美好美，开心开心，今晚的话题是：人到中年，最关键是拥有稳定而健康的内核，既能持续学习，又没有自卑感，随便就脆弱得像洒一地的玻璃，咋搞？！自省加自勉
1691155475# #逛小店，有时候蛮有意思的，今天在沙面逛到一家小店，我完全是因为门脸那个芭比粉儿下车了，一进门，气场满满的老板娘就hold住了我，港真东西不便宜，但蛮有自己的taste,她选包的眼光很好，就是太爱加珍珠和金链子，毕竟是三十多岁就去意大利买Versace的人，老板娘自己开服装工厂的，她设计的衣服最大
1688829251# #听朋友推荐说《长安三万里》很好看，然后今天晚上就去看了，片子不错，反正我坐那三个小时没有觉得烦。。剧情很紧凑画面唯美气势恢宏，关键是还复习了不少唐诗，接受了文化熏陶，讲述了李白和高适之间从少年就开始的深情厚谊，穿越一生，当我看到半裸的李白和杜甫，因为练习相扑而在地上滚来滚去的时候
1690956700# #今天去医院找大师，大师一边扎针一边说我的脖子比工地上农民工的脖子还硬……也对，大家都是搬砖坏笑
1703663801# #阳光晴好，新年快乐，一直是她，－直是我们，与OLAY相伴的这许多年……今日开箱记
1700993430# #转发微博
1689245253# #羊城人民，2023
1695035438# #做为一个粉丝，总是引颈等待偶像出书，所以《花城》第五期一上市说有张欣老师新作《如风似璧》，立马第一时间在小程序上下单买来看，第一时间看完，第一时间反馈读者意见：真好看！。这个好看有三重意义，第一故事引人入胜，小说里好像有钩子，一直把你的心抓住，无法释卷，这是我认为好小说的第一要素
1688520975# #昨天在泮塘五约的时候买了一盆栀子，我现在看到绿色就走不动道了，哈哈，盛惠三百，死沉拎了回来，这总比看到珠宝走不动道儿要省钱捂脸
1697586719# #小城宣讲，一面是对官员的要求，只有一个，就是“清廉”，一面是对于老百姓的期待，希望他们保持心理平衡，具体有十条，这也太有意思了吧调皮在这里读懂中国
1697081526# #晨早，去冬冬的地盘海珠公园，看到粉色的美人蕉，打了八段锦、晒了太阳，出了汗，美好的上午爱心
1693642534# #我一直觉张鸿老师是文学江湖里的人，是侠女，有限的几次吃饭，一直在谈文学，文学界的人，文学界的逸事，她人又豪爽，又真诚，每次听得我乐不可支，这是第一次看她的书，怎么能想到侠女似的人，如此细腻，如此深邃，文字里她的世界原来如此宽广，我们总是轻易地判断一个人，但一个丰富的人是不那么容易
1688734100# #时代更迭，不得不奋起直追，我们公号也开始试着做视频了，我也圆了我的播音梦，首度献声，希望可以陪伴大家久一点，在你洗碗、发呆、摸鱼的时候，我们吃个火锅冰淇淋的瓜挤眼
1704202464# #唉
1703318560# #凶手可以安心回国，享福养老了。
1698935122# #缘分，真是妙不可言，那年和姚远去威尼斯，碰上了贝贝，一位美丽年轻的音乐家，在伦敦留学，后来我们去英国又在中国城见上，每次那么巧，都能碰上，然后前两天她来了广州，说在大剧院演出，我正好约了𠆤闺蜜饭局，赶紧把她揪过来吃饭，她还带上了舞蹈家伯年，原来云门舞集的舞者，聊了一个晚上，超级
1688737292# #现在记性不好啊，很多事情都忘了，只记得好的事情。但是有些事情我还真是忘不了，比如说我大学一年级的时候，刚刚入校当时学校广播站招人，我呢，是有强烈的广播梦，然后我就去报名了，广播站一共招两个播音员，结果有五个人报名，有两个还是在高中的时候就当播音员的，算是强手如林吧，我当时拉着我的
1702374958# #约了快一年的老有所依团队终于合体了，认认真真吃饭，认认真真聊天，美好的礼物，美好的下午，今天的关键词是：嫌者时间。呲牙
1700729995# #谢谢李老师，新公寓装修记终于出来了挤眼
1703381674# #早上起来，阳光满屋，美好的平安夜，与卡地亚一同点亮每个珍贵瞬间，开启冬日奇想之旅。今日开箱记
1688611174# #讨好型人格生活特别痛苦，是因为他们永远生活在一种对他人的渴求里，他们需要别人肯定，需要别人爱他，这种渴求注定就是一种痛苦，向外求嘛，但是自爱这个东西又很难在后天里自建起来，更多的时候是天生，是很小很小的时候你的养育者用非常坚定的信念告诉你你是如此可爱，你值得所有好的，一旦植入这个
1694678322# #昨晚写稿查资料发现，现在的互联网上充斥着假消息，几乎没有什么靠得住的资料，不得不拿出自己的书，记得那年写这两本书的那个夏天，在家里挥汗如雨的查资料，因为要写一个靠谱的佟记辞典，没想到为自己派上了用场……谁说互联网走过必有痕迹，我已经用百度查不到自己的文章，当年在新浪也有几十上百万
1703230360# #原来还有电视剧版悲伤
1689985950# #早晨听到好消息，一点芬芳在玉瓶爱心
1698467349# #头水紫菜冲🌊加拿大象拔蚌，冲浪之下，香气四溢强，辉师傅杰作
